x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,-0.96875,0.612903,-2.3125,0.677419,-3.5625,0.322581,-4.375,-0.032258,-2.59375,1.0,-4.25,0.741935,-5.125,0.677419,-5.875,0.741935,-2.375,0.483871,-4.0,-0.612903,-4.78125,-1.290323,-5.40625,-1.709677,-2.0,-0.225806,-3.28125,-1.290323,-2.78125,-1.096774,-2.28125,-0.774194,-1.59375,-1.0,-2.59375,-1.774194,-2.15625,-1.548387,-1.6875,-1.258065,P
0.0,0.0,-1.085714,0.441176,-2.285714,0.529412,-3.371429,0.294118,-4.171429,0.235294,-2.571429,1.0,-4.0,0.794118,-4.8,0.794118,-5.457143,0.852941,-2.285714,0.617647,-3.742857,-0.411765,-4.514286,-1.088235,-5.114286,-1.529412,-1.914286,0.0,-3.114286,-1.058824,-2.657143,-1.088235,-2.2,-0.852941,-1.571429,-0.705882,-2.542857,-1.529412,-2.171429,-1.5,-1.8,-1.264706,P
0.0,0.0,-1.030303,0.472222,-2.30303,0.638889,-3.454545,0.388889,-4.272727,0.222222,-2.666667,1.0,-4.181818,0.777778,-5.0,0.777778,-5.69697,0.805556,-2.363636,0.638889,-3.878788,-0.361111,-4.69697,-0.972222,-5.30303,-1.388889,-2.0,0.083333,-3.242424,-0.916667,-2.787879,-0.888889,-2.30303,-0.694444,-1.666667,-0.555556,-2.636364,-1.305556,-2.272727,-1.222222,-1.909091,-1.027778,P
0.0,0.0,-1.125,0.612903,-2.46875,0.709677,-3.71875,0.419355,-4.5625,0.129032,-2.8125,1.0,-4.46875,0.806452,-5.34375,0.774194,-6.09375,0.83871,-2.5625,0.548387,-4.21875,-0.580645,-5.0625,-1.225806,-5.6875,-1.645161,-2.21875,-0.096774,-3.53125,-1.258065,-3.03125,-1.193548,-2.53125,-0.903226,-1.8125,-0.83871,-2.84375,-1.741935,-2.4375,-1.612903,-2.0,-1.354839,P
0.0,0.0,-1.028571,0.394737,-2.228571,0.526316,-3.314286,0.368421,-4.114286,0.236842,-2.542857,1.0,-3.971429,0.815789,-4.742857,0.789474,-5.4,0.842105,-2.257143,0.684211,-3.685714,-0.236842,-4.485714,-0.842105,-5.085714,-1.236842,-1.885714,0.131579,-3.028571,-0.868421,-2.571429,-0.842105,-2.142857,-0.657895,-1.542857,-0.5,-2.457143,-1.236842,-2.085714,-1.210526,-1.714286,-1.0,P
0.0,0.0,-1.266667,0.625,-2.733333,0.6875,-4.1,0.3125,-5.133333,0.09375,-3.1,1.0,-4.933333,0.75,-5.933333,0.71875,-6.733333,0.75,-2.833333,0.46875,-4.633333,-0.59375,-5.6,-1.21875,-6.366667,-1.65625,-2.5,-0.21875,-3.9,-1.34375,-3.4,-1.25,-2.9,-1.0,-2.1,-0.96875,-3.233333,-1.8125,-2.833333,-1.6875,-2.433333,-1.4375,P
0.0,0.0,-1.090909,0.27451,-2.272727,0.45098,-3.363636,0.392157,-4.204545,0.411765,-2.568182,1.0,-4.0,0.843137,-4.818182,0.803922,-5.5,0.823529,-2.25,0.705882,-3.772727,-0.176471,-4.590909,-0.745098,-5.181818,-1.176471,-1.886364,0.196078,-3.090909,-0.803922,-2.659091,-0.862745,-2.25,-0.72549,-1.568182,-0.431373,-2.568182,-1.156863,-2.204545,-1.196078,-1.840909,-1.058824,P
0.0,0.0,-1.186047,0.307692,-2.465116,0.476923,-3.674419,0.369231,-4.581395,0.307692,-2.813953,1.0,-4.488372,0.892308,-5.418605,0.876923,-6.209302,0.923077,-2.488372,0.769231,-4.325581,0.0,-5.232558,-0.507692,-5.906977,-0.861538,-2.139535,0.353846,-3.534884,-0.523077,-3.023256,-0.630769,-2.534884,-0.538462,-1.813953,-0.138462,-2.837209,-0.8,-2.44186,-0.892308,-2.046512,-0.815385,P
0.0,0.0,-1.102041,0.328358,-2.326531,0.492537,-3.44898,0.402985,-4.285714,0.343284,-2.653061,1.0,-4.204082,0.880597,-5.040816,0.865672,-5.755102,0.880597,-2.326531,0.761194,-4.040816,0.014925,-4.918367,-0.507463,-5.55102,-0.865672,-1.979592,0.298507,-3.265306,-0.567164,-2.836735,-0.686567,-2.387755,-0.58209,-1.653061,-0.223881,-2.653061,-0.910448,-2.306122,-0.970149,-1.918367,-0.865672,P
0.0,0.0,-1.14,0.390625,-2.38,0.5625,-3.52,0.40625,-4.34,0.265625,-2.8,1.0,-4.4,0.828125,-5.24,0.84375,-5.96,0.890625,-2.5,0.75,-4.24,-0.109375,-5.06,-0.6875,-5.64,-1.0625,-2.14,0.28125,-3.36,-0.703125,-2.92,-0.8125,-2.46,-0.6875,-1.8,-0.28125,-2.7,-1.015625,-2.34,-1.109375,-1.98,-0.984375,P
0.0,0.0,-1.1,0.366197,-2.26,0.56338,-3.34,0.450704,-4.14,0.352113,-2.68,1.0,-4.18,0.873239,-5.02,0.859155,-5.74,0.887324,-2.36,0.788732,-4.0,0.028169,-4.8,-0.450704,-5.36,-0.774648,-2.02,0.394366,-3.2,-0.492958,-2.74,-0.577465,-2.3,-0.43662,-1.68,-0.070423,-2.54,-0.774648,-2.16,-0.830986,-1.82,-0.676056,P
0.0,0.0,-1.232558,0.328125,-2.627907,0.515625,-3.883721,0.4375,-4.767442,0.375,-3.0,1.0,-4.72093,0.890625,-5.604651,0.921875,-6.395349,0.984375,-2.697674,0.78125,-4.581395,0.015625,-5.55814,-0.515625,-6.27907,-0.875,-2.325581,0.359375,-3.767442,-0.5625,-3.255814,-0.71875,-2.744186,-0.640625,-2.0,-0.140625,-3.069767,-0.859375,-2.651163,-0.96875,-2.255814,-0.84375,P
0.0,0.0,-1.204545,0.292308,-2.477273,0.461538,-3.659091,0.384615,-4.545455,0.369231,-2.886364,1.0,-4.545455,0.876923,-5.431818,0.892308,-6.204545,0.938462,-2.568182,0.8,-4.363636,0.015385,-5.25,-0.523077,-5.909091,-0.861538,-2.204545,0.4,-3.590909,-0.538462,-3.090909,-0.692308,-2.613636,-0.615385,-1.886364,-0.092308,-2.931818,-0.815385,-2.545455,-0.907692,-2.181818,-0.784615,P
0.0,0.0,-1.25,0.349206,-2.65,0.52381,-3.975,0.412698,-4.975,0.380952,-3.125,1.0,-4.925,0.904762,-5.925,0.888889,-6.775,0.936508,-2.8,0.746032,-4.8,0.0,-5.775,-0.539683,-6.5,-0.904762,-2.45,0.301587,-3.925,-0.571429,-3.4,-0.714286,-2.875,-0.619048,-2.125,-0.222222,-3.2,-0.888889,-2.8,-0.968254,-2.4,-0.84127,P
