x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,-1.06383,0.147826,-1.93617,0.469565,-2.617021,0.678261,-3.276596,0.8,-1.425532,1.0,-1.744681,1.330435,-2.170213,1.452174,-2.617021,1.504348,-1.12766,1.043478,-1.446809,1.426087,-2.042553,1.521739,-2.595745,1.513043,-0.787234,1.034783,-1.06383,1.443478,-1.680851,1.53913,-2.234043,1.521739,-0.425532,0.973913,-0.680851,1.313043,-1.191489,1.452174,-1.659574,1.495652,C
0.0,0.0,-1.162791,0.155963,-2.093023,0.46789,-2.790698,0.669725,-3.44186,0.807339,-1.44186,1.0,-1.72093,1.385321,-2.255814,1.504587,-2.744186,1.513761,-1.093023,1.045872,-1.348837,1.495413,-2.093023,1.568807,-2.697674,1.477064,-0.767442,1.036697,-0.930233,1.486239,-1.72093,1.53211,-2.302326,1.449541,-0.44186,0.981651,-0.72093,1.321101,-1.302326,1.422018,-1.767442,1.40367,C
0.0,0.0,-1.324324,0.158879,-2.324324,0.485981,-3.108108,0.672897,-3.810811,0.82243,-1.594595,1.0,-1.972973,1.35514,-2.540541,1.476636,-3.108108,1.504673,-1.27027,1.056075,-1.648649,1.485981,-2.432432,1.560748,-3.108108,1.504673,-0.918919,1.046729,-1.27027,1.495327,-2.108108,1.560748,-2.783784,1.504673,-0.594595,1.0,-0.972973,1.336449,-1.621622,1.439252,-2.189189,1.448598,C
0.0,0.0,-1.314286,0.163265,-2.342857,0.510204,-3.114286,0.755102,-3.914286,0.918367,-1.714286,1.0,-2.171429,1.346939,-2.828571,1.459184,-3.428571,1.510204,-1.371429,1.05102,-1.885714,1.469388,-2.742857,1.540816,-3.457143,1.5,-1.028571,1.05102,-1.514286,1.489796,-2.4,1.530612,-3.057143,1.459184,-0.714286,1.010204,-1.171429,1.346939,-1.885714,1.408163,-2.4,1.367347,C
0.0,0.0,-1.382353,0.21,-2.382353,0.51,-3.176471,0.71,-3.794118,0.93,-1.676471,1.0,-2.147059,1.36,-2.823529,1.45,-3.411765,1.47,-1.323529,1.06,-1.794118,1.5,-2.705882,1.54,-3.382353,1.44,-0.970588,1.06,-1.411765,1.52,-2.382353,1.53,-3.029412,1.42,-0.676471,1.02,-1.147059,1.36,-1.882353,1.42,-2.470588,1.37,C
0.0,0.0,-1.277778,0.18,-2.277778,0.51,-3.0,0.73,-3.666667,0.94,-1.583333,1.0,-2.027778,1.36,-2.666667,1.47,-3.25,1.49,-1.222222,1.04,-1.694444,1.5,-2.555556,1.56,-3.194444,1.47,-0.888889,1.04,-1.333333,1.49,-2.194444,1.52,-2.805556,1.42,-0.583333,0.97,-1.083333,1.28,-1.75,1.34,-2.277778,1.31,C
0.0,0.0,-1.333333,0.196078,-2.454545,0.519608,-3.272727,0.735294,-4.0,0.941176,-1.545455,1.0,-2.0,1.372549,-2.757576,1.480392,-3.454545,1.470588,-1.181818,1.039216,-1.636364,1.480392,-2.636364,1.539216,-3.393939,1.460784,-0.818182,1.009804,-1.30303,1.460784,-2.272727,1.509804,-2.969697,1.431373,-0.545455,0.921569,-1.090909,1.205882,-1.848485,1.264706,-2.454545,1.245098,C
0.0,0.0,-1.25,0.188119,-2.222222,0.50495,-2.972222,0.722772,-3.611111,0.920792,-1.611111,1.0,-2.055556,1.326733,-2.638889,1.425743,-3.166667,1.435644,-1.305556,1.049505,-1.722222,1.475248,-2.527778,1.514851,-3.166667,1.415842,-0.972222,1.049505,-1.305556,1.485149,-2.166667,1.50495,-2.777778,1.39604,-0.611111,1.009901,-0.944444,1.346535,-1.638889,1.425743,-2.166667,1.376238,C
0.0,0.0,-1.4375,0.178218,-2.53125,0.524752,-3.34375,0.762376,-4.1875,0.930693,-1.78125,1.0,-2.25,1.356436,-2.9375,1.455446,-3.53125,1.465347,-1.46875,1.059406,-1.96875,1.49505,-2.90625,1.534653,-3.59375,1.435644,-1.15625,1.069307,-1.5625,1.50495,-2.53125,1.544554,-3.21875,1.455446,-0.78125,1.039604,-1.15625,1.39604,-1.875,1.50495,-2.46875,1.50495,C
0.0,0.0,-2.083333,0.160377,-3.458333,0.481132,-4.583333,0.679245,-5.666667,0.858491,-2.416667,1.0,-3.125,1.386792,-4.25,1.433962,-5.166667,1.386792,-2.041667,1.037736,-2.916667,1.490566,-4.291667,1.5,-5.25,1.377358,-1.666667,1.028302,-2.5,1.490566,-3.916667,1.5,-4.833333,1.386792,-1.416667,0.990566,-2.208333,1.349057,-3.25,1.40566,-4.041667,1.349057,C
