x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,-0.405405,0.023256,-0.864865,0.337209,-1.108108,0.686047,-0.959459,1.0,-0.716216,1.0,-0.891892,1.534884,-1.067568,1.883721,-1.189189,2.174419,-0.405405,1.081395,-0.608108,1.5,-0.662162,1.151163,-0.621622,0.860465,-0.067568,1.081395,-0.22973,1.465116,-0.324324,1.116279,-0.283784,0.837209,0.283784,1.011628,0.135135,1.360465,0.027027,1.104651,0.040541,0.860465,D
0.0,0.0,-0.531646,0.117647,-0.886076,0.45098,-0.860759,0.813725,-0.670886,1.117647,-0.835443,1.0,-0.974684,1.470588,-1.025316,1.77451,-1.037975,2.039216,-0.506329,1.058824,-0.582278,1.539216,-0.544304,1.352941,-0.493671,1.127451,-0.177215,1.029412,-0.21519,1.509804,-0.227848,1.294118,-0.202532,1.029412,0.164557,0.931373,0.164557,1.27451,0.139241,1.117647,0.164557,0.882353,D
0.0,0.0,-0.475,0.133333,-0.825,0.457143,-0.8,0.780952,-0.625,1.066667,-0.8,1.0,-0.925,1.466667,-0.9375,1.752381,-0.925,2.009524,-0.475,1.047619,-0.55,1.495238,-0.5125,1.257143,-0.5,1.038095,-0.15,1.028571,-0.2,1.47619,-0.2,1.238095,-0.175,1.0,0.2,0.952381,0.15,1.32381,0.1125,1.219048,0.0875,1.047619,D
0.0,0.0,-0.519481,0.116505,-0.883117,0.456311,-0.883117,0.805825,-0.714286,1.097087,-0.805195,1.0,-0.935065,1.456311,-0.974026,1.737864,-1.0,1.980583,-0.480519,1.038835,-0.558442,1.504854,-0.545455,1.291262,-0.519481,1.048544,-0.155844,1.029126,-0.233766,1.456311,-0.246753,1.23301,-0.220779,0.980583,0.194805,0.961165,0.142857,1.339806,0.064935,1.262136,0.025974,1.067961,D
0.0,0.0,-0.506494,0.126214,-0.883117,0.446602,-0.909091,0.76699,-0.701299,1.029126,-0.805195,1.0,-0.935065,1.446602,-0.974026,1.728155,-0.987013,1.961165,-0.480519,1.038835,-0.61039,1.475728,-0.61039,1.252427,-0.558442,1.019417,-0.155844,1.038835,-0.25974,1.466019,-0.272727,1.213592,-0.220779,0.951456,0.194805,0.970874,0.142857,1.349515,0.064935,1.262136,0.038961,1.067961,D
0.0,0.0,-0.513158,0.125,-0.881579,0.432692,-0.947368,0.730769,-0.75,0.990385,-0.802632,1.0,-0.947368,1.442308,-1.0,1.711538,-1.026316,1.942308,-0.486842,1.038462,-0.605263,1.471154,-0.631579,1.240385,-0.592105,1.0,-0.157895,1.019231,-0.263158,1.432692,-0.315789,1.201923,-0.276316,0.951923,0.197368,0.951923,0.157895,1.317308,0.065789,1.230769,0.013158,1.048077,D
0.0,0.0,-0.583333,0.113402,-0.986111,0.43299,-1.0,0.752577,-0.75,1.020619,-0.902778,1.0,-1.069444,1.484536,-1.166667,1.773196,-1.208333,2.030928,-0.583333,1.061856,-0.708333,1.56701,-0.777778,1.381443,-0.763889,1.123711,-0.25,1.061856,-0.347222,1.515464,-0.472222,1.350515,-0.486111,1.082474,0.097222,1.010309,0.055556,1.391753,-0.083333,1.350515,-0.152778,1.164948,D
0.0,0.0,-0.512195,0.132743,-0.829268,0.460177,-0.792683,0.787611,-0.585366,1.044248,-0.780488,1.0,-0.853659,1.451327,-0.865854,1.752212,-0.829268,2.0,-0.45122,1.035398,-0.487805,1.469027,-0.463415,1.442478,-0.426829,1.327434,-0.121951,1.017699,-0.109756,1.451327,-0.109756,1.451327,-0.109756,1.327434,0.219512,0.938053,0.256098,1.265487,0.256098,1.371681,0.231707,1.371681,D
0.0,0.0,-0.412281,0.098684,-0.72807,0.394737,-0.72807,0.684211,-0.578947,0.940789,-0.684211,1.0,-0.754386,1.427632,-0.763158,1.703947,-0.72807,1.947368,-0.359649,1.039474,-0.403509,1.460526,-0.412281,1.171053,-0.394737,0.907895,-0.026316,1.006579,0.008772,1.407895,-0.052632,1.111842,-0.078947,0.848684,0.315789,0.914474,0.368421,1.25,0.263158,1.085526,0.184211,0.868421,D
0.0,0.0,-0.382812,0.071429,-0.71875,0.333333,-0.742188,0.565476,-0.617188,0.779762,-0.703125,1.0,-0.773438,1.458333,-0.78125,1.720238,-0.742188,1.970238,-0.367188,1.017857,-0.4375,1.39881,-0.492188,1.065476,-0.492188,0.797619,-0.039062,0.97619,-0.039062,1.345238,-0.125,1.0,-0.15625,0.72619,0.296875,0.869048,0.320312,1.172619,0.210938,0.946429,0.148438,0.72619,D
0.0,0.0,-0.358209,-0.061069,-0.679104,0.175573,-0.723881,0.442748,-0.5,0.717557,-0.708955,1.0,-0.761194,1.473282,-0.80597,1.541985,-0.783582,1.473282,-0.380597,1.114504,-0.462687,1.610687,-0.462687,1.290076,-0.395522,0.961832,-0.037313,1.137405,-0.067164,1.618321,-0.119403,1.251908,-0.119403,0.870229,0.291045,1.091603,0.30597,1.389313,0.231343,1.099237,0.179104,0.770992,D
0.0,0.0,-0.446809,0.090164,-0.819149,0.344262,-0.925532,0.614754,-0.734043,0.844262,-0.776596,1.0,-0.925532,1.5,-1.021277,1.795082,-1.042553,2.040984,-0.446809,1.02459,-0.574468,1.516393,-0.648936,1.237705,-0.62766,0.95082,-0.117021,0.97541,-0.191489,1.45082,-0.276596,1.196721,-0.255319,0.92623,0.223404,0.844262,0.212766,1.139344,0.138298,0.983607,0.148936,0.770492,D
0.0,0.0,-0.457831,0.102564,-0.807229,0.393162,-0.843373,0.649573,-0.638554,0.854701,-0.710843,1.0,-0.795181,1.452991,-0.831325,1.709402,-0.807229,1.931624,-0.373494,1.017094,-0.445783,1.435897,-0.53012,1.17094,-0.542169,0.91453,-0.048193,0.974359,-0.072289,1.401709,-0.180723,1.162393,-0.192771,0.905983,0.289157,0.863248,0.26506,1.17094,0.168675,1.025641,0.13253,0.82906,D
0.0,0.0,-0.460526,0.122642,-0.763158,0.415094,-0.697368,0.679245,-0.460526,0.839623,-0.736842,1.0,-0.763158,1.424528,-0.75,1.707547,-0.723684,1.95283,-0.381579,1.037736,-0.407895,1.443396,-0.421053,1.198113,-0.421053,0.981132,-0.052632,1.009434,-0.013158,1.40566,-0.078947,1.179245,-0.118421,0.95283,0.263158,0.915094,0.302632,1.245283,0.223684,1.150943,0.171053,0.981132,D
0.0,0.0,-0.507042,0.104762,-0.873239,0.390476,-0.887324,0.647619,-0.591549,0.809524,-0.746479,1.0,-0.802817,1.419048,-0.830986,1.67619,-0.816901,1.904762,-0.408451,1.019048,-0.450704,1.409524,-0.521127,1.152381,-0.535211,0.942857,-0.084507,0.990476,-0.070423,1.380952,-0.197183,1.142857,-0.225352,0.904762,0.253521,0.895238,0.253521,1.228571,0.126761,1.114286,0.070423,0.942857,D
0.0,0.0,-0.472973,0.093458,-0.864865,0.401869,-0.797297,0.654206,-0.445946,0.757009,-0.675676,1.0,-0.743243,1.411215,-0.783784,1.64486,-0.77027,1.850467,-0.324324,1.009346,-0.337838,1.411215,-0.432432,1.149533,-0.445946,0.897196,0.0,0.943925,0.040541,1.317757,-0.094595,1.11215,-0.135135,0.878505,0.324324,0.831776,0.378378,1.121495,0.256757,1.028037,0.189189,0.859813,D
0.0,0.0,-0.493333,0.098039,-0.88,0.411765,-0.786667,0.686275,-0.386667,0.77451,-0.706667,1.0,-0.746667,1.45098,-0.8,1.696078,-0.8,1.911765,-0.346667,1.009804,-0.32,1.441176,-0.413333,1.196078,-0.453333,0.941176,-0.026667,0.95098,0.04,1.333333,-0.08,1.127451,-0.133333,0.892157,0.293333,0.823529,0.373333,1.127451,0.253333,1.029412,0.173333,0.852941,D
0.0,0.0,-0.480519,0.104762,-0.857143,0.419048,-0.727273,0.695238,-0.376623,0.838095,-0.766234,1.0,-0.831169,1.438095,-0.844156,1.714286,-0.831169,1.952381,-0.428571,1.038095,-0.493506,1.466667,-0.506494,1.209524,-0.493506,0.971429,-0.103896,1.009524,-0.090909,1.428571,-0.155844,1.180952,-0.181818,0.933333,0.233766,0.92381,0.25974,1.285714,0.168831,1.171429,0.103896,0.980952,D
0.0,0.0,-0.492308,0.111111,-0.892308,0.373737,-0.815385,0.656566,-0.430769,0.767677,-0.769231,1.0,-0.846154,1.454545,-0.892308,1.707071,-0.861538,1.939394,-0.415385,1.020202,-0.492308,1.40404,-0.584615,1.10101,-0.584615,0.888889,-0.092308,0.979798,-0.123077,1.343434,-0.261538,1.090909,-0.276923,0.868687,0.230769,0.878788,0.215385,1.222222,0.076923,1.090909,0.061538,0.919192,D
0.0,0.0,-0.507937,0.086022,-0.920635,0.333333,-0.952381,0.569892,-0.666667,0.752688,-0.809524,1.0,-0.873016,1.494624,-0.952381,1.763441,-0.968254,2.0,-0.47619,1.021505,-0.650794,1.462366,-0.777778,1.150538,-0.746032,0.892473,-0.15873,0.989247,-0.253968,1.419355,-0.380952,1.11828,-0.365079,0.860215,0.190476,0.903226,0.126984,1.258065,-0.031746,1.096774,-0.079365,0.88172,D
0.0,0.0,-0.469697,0.091837,-0.878788,0.346939,-0.893939,0.581633,-0.606061,0.744898,-0.757576,1.0,-0.818182,1.459184,-0.863636,1.714286,-0.833333,1.94898,-0.424242,1.020408,-0.575758,1.418367,-0.681818,1.102041,-0.666667,0.846939,-0.090909,0.969388,-0.181818,1.357143,-0.318182,1.05102,-0.30303,0.795918,0.242424,0.877551,0.151515,1.193878,0.030303,1.010204,0.0,0.806122,D
0.0,0.0,-0.492958,0.08,-0.901408,0.35,-0.915493,0.6,-0.661972,0.78,-0.830986,1.0,-0.929577,1.47,-0.971831,1.73,-0.957746,1.98,-0.492958,1.03,-0.605634,1.46,-0.690141,1.14,-0.690141,0.87,-0.169014,0.99,-0.239437,1.41,-0.338028,1.11,-0.338028,0.83,0.169014,0.9,0.084507,1.24,-0.042254,1.06,-0.056338,0.85,D
0.0,0.0,-0.487179,0.081818,-0.897436,0.345455,-0.897436,0.609091,-0.564103,0.772727,-0.833333,1.0,-0.935897,1.463636,-0.987179,1.736364,-0.961538,1.981818,-0.5,1.027273,-0.615385,1.472727,-0.679487,1.163636,-0.653846,0.918182,-0.179487,1.0,-0.230769,1.418182,-0.320513,1.118182,-0.307692,0.863636,0.166667,0.909091,0.115385,1.272727,0.012821,1.109091,0.0,0.9,D
0.0,0.0,-0.456522,0.071429,-0.836957,0.34127,-0.793478,0.595238,-0.532609,0.777778,-0.771739,1.0,-0.847826,1.47619,-0.869565,1.753968,-0.847826,2.015873,-0.445652,1.031746,-0.51087,1.484127,-0.554348,1.18254,-0.543478,0.928571,-0.108696,1.0,-0.108696,1.428571,-0.206522,1.134921,-0.217391,0.873016,0.228261,0.896825,0.228261,1.230159,0.141304,1.039683,0.119565,0.81746,D
0.0,0.0,-0.44,0.086331,-0.79,0.338129,-0.79,0.589928,-0.61,0.798561,-0.74,1.0,-0.77,1.438849,-0.77,1.705036,-0.72,1.94964,-0.4,1.021583,-0.47,1.431655,-0.51,1.071942,-0.52,0.827338,-0.07,0.992806,-0.06,1.381295,-0.16,1.035971,-0.21,0.776978,0.26,0.884892,0.29,1.208633,0.16,1.0,0.08,0.791367,D
0.0,0.0,-0.467532,0.083333,-0.844156,0.404762,-0.844156,0.785714,-0.623377,1.047619,-0.87013,1.0,-1.025974,1.416667,-1.090909,1.702381,-1.12987,1.928571,-0.545455,1.119048,-0.636364,1.559524,-0.649351,1.72619,-0.649351,1.77381,-0.207792,1.142857,-0.272727,1.583333,-0.285714,1.702381,-0.285714,1.678571,0.12987,1.083333,0.103896,1.452381,0.064935,1.583333,0.038961,1.583333,D
0.0,0.0,-0.486486,0.118812,-0.837838,0.39604,-0.797297,0.663366,-0.581081,0.871287,-0.810811,1.0,-0.918919,1.445545,-0.945946,1.712871,-0.959459,1.960396,-0.472973,1.049505,-0.554054,1.485149,-0.581081,1.227723,-0.567568,0.980198,-0.148649,1.029703,-0.189189,1.475248,-0.27027,1.247525,-0.27027,1.0,0.189189,0.950495,0.175676,1.29703,0.054054,1.207921,0.0,1.019802,D
0.0,0.0,-0.517857,0.123457,-0.875,0.444444,-0.875,0.740741,-0.625,0.950617,-0.839286,1.0,-0.964286,1.419753,-1.053571,1.679012,-1.089286,1.901235,-0.5,1.037037,-0.607143,1.493827,-0.696429,1.296296,-0.696429,1.074074,-0.178571,1.037037,-0.196429,1.481481,-0.339286,1.320988,-0.339286,1.08642,0.160714,0.975309,0.142857,1.333333,0.0,1.283951,-0.053571,1.135802,D
