x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,0.0,0.512821,-2.2,0.948718,-4.8,1.012821,-7.0,0.820513,-8.4,1.0,-12.6,1.128205,-15.7,1.153846,-18.6,1.179487,-9.5,0.705128,-13.8,0.935897,-16.0,1.0,-17.9,1.064103,-9.8,0.397436,-12.5,0.410256,-9.2,0.282051,-6.4,0.230769,-9.4,0.102564,-11.6,0.102564,-9.3,0.064103,-7.0,0.064103,H
0.0,0.0,-1.0,0.513889,-6.2,0.972222,-12.0,0.930556,-16.8,0.680556,-19.0,1.0,-26.6,1.138889,-31.4,1.180556,-36.2,1.222222,-21.4,0.694444,-30.6,0.861111,-36.4,0.958333,-41.8,1.055556,-21.6,0.361111,-25.6,0.347222,-18.8,0.263889,-13.4,0.222222,-20.0,0.055556,-22.0,0.055556,-17.0,0.041667,-12.4,0.041667,H
0.0,0.0,-3.0,0.537313,-16.0,0.955224,-30.0,0.865672,-41.0,0.522388,-48.5,1.0,-67.5,1.104478,-80.0,1.134328,-92.0,1.164179,-54.0,0.641791,-76.5,0.791045,-91.5,0.865672,-105.0,0.940299,-53.0,0.283582,-65.5,0.253731,-49.0,0.223881,-35.5,0.208955,-47.5,-0.074627,-54.5,-0.044776,-42.0,0.0,-30.0,0.014925,H
0.0,0.0,-2.0,0.538462,-9.25,0.969231,-17.0,0.861538,-22.5,0.553846,-24.5,1.0,-34.25,1.123077,-40.5,1.153846,-46.5,1.184615,-27.0,0.646154,-38.75,0.784615,-46.25,0.861538,-53.0,0.923077,-26.25,0.261538,-33.0,0.261538,-25.75,0.246154,-19.5,0.215385,-23.5,-0.092308,-27.0,-0.046154,-21.25,0.0,-16.0,0.030769,H
0.0,0.0,-2.833333,0.636364,-8.166667,1.054545,-13.166667,0.854545,-16.5,0.454545,-16.166667,1.0,-22.5,1.163636,-26.333333,1.2,-30.0,1.254545,-17.5,0.618182,-24.333333,0.763636,-29.0,0.872727,-32.833333,0.963636,-17.0,0.218182,-21.0,0.127273,-16.833333,0.127273,-12.833333,0.127273,-15.166667,-0.163636,-18.166667,-0.145455,-15.166667,-0.072727,-11.833333,-0.036364,H
0.0,0.0,-3.4,0.614035,-10.0,1.017544,-16.0,0.842105,-19.8,0.45614,-19.0,1.0,-26.8,1.140351,-31.8,1.175439,-36.2,1.22807,-20.6,0.614035,-29.2,0.754386,-35.0,0.859649,-40.0,0.929825,-20.0,0.245614,-26.0,0.175439,-21.4,0.140351,-16.6,0.122807,-18.0,-0.105263,-22.2,-0.105263,-19.0,-0.035088,-15.2,0.017544,H
0.0,0.0,-3.75,0.636364,-11.75,1.090909,-19.75,0.872727,-24.75,0.436364,-23.75,1.0,-33.5,1.145455,-39.75,1.181818,-45.25,1.236364,-26.0,0.6,-36.75,0.781818,-43.75,0.872727,-49.5,0.981818,-25.25,0.2,-32.0,0.181818,-25.75,0.109091,-19.5,0.072727,-22.75,-0.163636,-27.25,-0.181818,-22.5,-0.127273,-17.25,-0.072727,H
0.0,0.0,-0.909091,0.152174,-1.969697,0.478261,-2.757576,0.586957,-3.393939,0.521739,-3.0,1.0,-4.212121,1.217391,-4.969697,1.347826,-5.636364,1.478261,-2.878788,1.021739,-4.272727,1.26087,-5.272727,1.326087,-6.090909,1.369565,-2.515152,0.978261,-3.545455,0.869565,-3.151515,0.521739,-2.69697,0.282609,-2.0,0.826087,-2.878788,0.782609,-2.939394,0.543478,-2.787879,0.347826,H
0.0,0.0,-1.5,0.707692,-4.333333,0.953846,-6.833333,0.8,-8.166667,0.538462,-7.0,1.0,-10.833333,1.169231,-12.916667,1.246154,-14.583333,1.276923,-8.083333,0.584615,-12.0,0.830769,-14.5,0.969231,-16.25,1.030769,-8.333333,0.153846,-9.916667,0.276923,-8.666667,0.307692,-7.416667,0.276923,-8.0,-0.246154,-8.666667,-0.092308,-7.666667,-0.046154,-6.583333,-0.076923,H
0.0,0.0,-2.833333,0.71875,-7.333333,1.0,-11.666667,0.90625,-14.333333,0.671875,-14.333333,1.0,-21.833333,1.140625,-26.0,1.1875,-29.5,1.1875,-16.333333,0.59375,-23.833333,0.78125,-28.666667,0.890625,-32.166667,0.921875,-16.333333,0.15625,-19.166667,0.28125,-17.0,0.328125,-14.666667,0.3125,-15.333333,-0.234375,-16.5,-0.078125,-14.666667,-0.03125,-12.833333,-0.03125,H
