x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,0.597222,0.133333,1.166667,0.466667,1.541667,0.744444,1.861111,0.955556,0.930556,1.0,1.194444,1.188889,1.138889,0.866667,1.069444,0.633333,0.625,1.066667,0.875,1.233333,0.819444,0.833333,0.722222,0.533333,0.277778,1.122222,0.5,1.288889,0.513889,0.888889,0.472222,0.577778,-0.069444,1.133333,0.041667,1.6,0.138889,1.9,0.222222,2.155556,I
0.0,0.0,0.52439,0.107527,1.02439,0.462366,1.243902,0.795699,1.390244,1.107527,0.817073,1.0,0.987805,1.139785,0.853659,0.806452,0.682927,0.526882,0.5,1.096774,0.646341,1.204301,0.487805,0.774194,0.341463,0.451613,0.158537,1.150538,0.304878,1.311828,0.231707,0.892473,0.146341,0.55914,-0.182927,1.16129,-0.073171,1.612903,0.0,1.903226,0.073171,2.150538,I
0.0,0.0,0.522727,0.108696,0.977273,0.445652,1.170455,0.782609,1.318182,1.076087,0.829545,1.0,0.965909,1.141304,0.852273,0.793478,0.704545,0.48913,0.511364,1.086957,0.636364,1.195652,0.5,0.75,0.375,0.413043,0.159091,1.130435,0.284091,1.23913,0.227273,0.815217,0.170455,0.5,-0.170455,1.141304,-0.102273,1.586957,-0.056818,1.880435,0.0,2.163043,I
0.0,0.0,0.560976,0.119565,1.036585,0.423913,1.231707,0.73913,1.329268,1.01087,0.878049,1.0,1.02439,1.108696,0.914634,0.75,0.804878,0.5,0.560976,1.086957,0.670732,1.163043,0.573171,0.75,0.487805,0.456522,0.219512,1.141304,0.317073,1.206522,0.280488,0.826087,0.243902,0.51087,-0.121951,1.152174,-0.02439,1.586957,0.02439,1.880435,0.073171,2.108696,I
0.0,0.0,0.444444,0.14,0.864198,0.49,1.012346,0.81,1.037037,1.11,0.617284,1.0,0.679012,1.18,0.62963,0.89,0.567901,0.63,0.296296,1.05,0.345679,1.21,0.308642,0.83,0.259259,0.53,-0.049383,1.05,-0.012346,1.24,0.0,0.88,0.012346,0.58,-0.382716,1.01,-0.395062,1.41,-0.444444,1.67,-0.45679,1.91,I
0.0,0.0,0.463415,0.126316,0.914634,0.452632,1.121951,0.778947,1.182927,1.105263,0.707317,1.0,0.817073,1.136842,0.707317,0.810526,0.585366,0.536842,0.378049,1.073684,0.47561,1.178947,0.353659,0.757895,0.256098,0.452632,0.036585,1.094737,0.121951,1.252632,0.073171,0.863158,0.04878,0.536842,-0.292683,1.063158,-0.256098,1.484211,-0.243902,1.757895,-0.231707,2.010526,I
0.0,0.0,0.506329,0.103448,0.974684,0.436782,1.202532,0.758621,1.303797,1.08046,0.822785,1.0,0.936709,1.137931,0.835443,0.804598,0.708861,0.517241,0.506329,1.091954,0.607595,1.183908,0.481013,0.747126,0.35443,0.425287,0.164557,1.137931,0.278481,1.275862,0.202532,0.862069,0.151899,0.54023,-0.177215,1.149425,-0.101266,1.586207,-0.050633,1.873563,0.0,2.126437,I
0.0,0.0,0.533333,0.116279,1.053333,0.488372,1.293333,0.813953,1.386667,1.127907,0.853333,1.0,0.986667,1.162791,0.906667,0.848837,0.8,0.581395,0.533333,1.093023,0.653333,1.197674,0.533333,0.790698,0.413333,0.476744,0.2,1.139535,0.293333,1.290698,0.253333,0.895349,0.2,0.569767,-0.146667,1.162791,-0.053333,1.581395,0.0,1.860465,0.066667,2.093023,I
0.0,0.0,0.533333,0.116279,1.026667,0.476744,1.306667,0.790698,1.426667,1.093023,0.88,1.0,1.04,1.151163,0.933333,0.837209,0.813333,0.55814,0.573333,1.104651,0.706667,1.197674,0.573333,0.790698,0.453333,0.488372,0.226667,1.151163,0.36,1.290698,0.28,0.895349,0.213333,0.581395,-0.12,1.186047,-0.026667,1.604651,0.04,1.860465,0.12,2.093023,I
0.0,0.0,0.506667,0.095238,1.026667,0.452381,1.293333,0.785714,1.373333,1.130952,0.853333,1.0,0.986667,1.154762,0.88,0.809524,0.76,0.535714,0.533333,1.095238,0.666667,1.214286,0.533333,0.797619,0.4,0.47619,0.2,1.166667,0.333333,1.345238,0.253333,0.952381,0.173333,0.619048,-0.146667,1.178571,-0.04,1.619048,0.026667,1.904762,0.106667,2.166667,I
0.0,0.0,0.52,0.16129,0.96,0.505376,1.146667,0.827957,1.146667,1.129032,0.666667,1.0,0.76,1.172043,0.68,0.870968,0.6,0.623656,0.346667,1.053763,0.386667,1.204301,0.333333,0.83871,0.293333,0.569892,0.0,1.075269,0.053333,1.236559,0.04,0.903226,0.026667,0.634409,-0.333333,1.064516,-0.346667,1.483871,-0.36,1.763441,-0.373333,1.978495,I
0.0,0.0,0.475,0.147368,0.8875,0.526316,1.0625,0.863158,1.075,1.178947,0.6375,1.0,0.7,1.178947,0.625,0.915789,0.55,0.652632,0.3125,1.052632,0.3625,1.210526,0.3,0.842105,0.2375,0.547368,-0.025,1.052632,0.0,1.242105,-0.0125,0.884211,0.0,0.589474,-0.3625,1.010526,-0.375,1.421053,-0.425,1.684211,-0.45,1.926316,I
