h0x0,h0y0,h0x1,h0y1,h0x2,h0y2,h0x3,h0y3,h0x4,h0y4,h0x5,h0y5,h0x6,h0y6,h0x7,h0y7,h0x8,h0y8,h0x9,h0y9,h0x10,h0y10,h0x11,h0y11,h0x12,h0y12,h0x13,h0y13,h0x14,h0y14,h0x15,h0y15,h0x16,h0y16,h0x17,h0y17,h0x18,h0y18,h0x19,h0y19,h0x20,h0y20,h1x0,h1y0,h1x1,h1y1,h1x2,h1y2,h1x3,h1y3,h1x4,h1y4,h1x5,h1y5,h1x6,h1y6,h1x7,h1y7,h1x8,h1y8,h1x9,h1y9,h1x10,h1y10,h1x11,h1y11,h1x12,h1y12,h1x13,h1y13,h1x14,h1y14,h1x15,h1y15,h1x16,h1y16,h1x17,h1y17,h1x18,h1y18,h1x19,h1y19,h1x20,h1y20,dist_x,dist_y,label,clip_id
0.0,0.0,0.542553,0.024,1.148936,0.448,1.414894,0.832,1.414894,1.184,0.893617,1.0,1.148936,1.232,1.06383,0.872,0.957447,0.592,0.574468,1.032,0.893617,1.2,0.712766,0.712,0.531915,0.384,0.234043,1.032,0.531915,1.104,0.393617,0.632,0.234043,0.32,-0.106383,1.032,0.138298,1.472,0.308511,1.744,0.478723,1.984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0.0
0.0,0.0,0.630435,0.146853,1.23913,0.524476,1.48913,0.867133,1.445652,1.174825,0.934783,1.0,1.228261,1.230769,1.108696,0.867133,0.967391,0.601399,0.619565,1.013986,0.945652,1.202797,0.782609,0.762238,0.630435,0.468531,0.271739,1.013986,0.576087,1.097902,0.423913,0.671329,0.25,0.391608,-0.065217,1.006993,0.152174,1.398601,0.336957,1.622378,0.51087,1.832168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0.0
0.0,0.0,0.670455,0.141844,1.284091,0.531915,1.568182,0.87234,1.590909,1.198582,1.0,1.0,1.318182,1.22695,1.181818,0.87234,1.022727,0.609929,0.670455,1.021277,1.045455,1.205674,0.829545,0.758865,0.647727,0.460993,0.340909,1.028369,0.681818,1.120567,0.5,0.695035,0.306818,0.41844,0.0,1.035461,0.25,1.41844,0.454545,1.64539,0.670455,1.843972,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0.0
0.0,0.0,0.638298,0.152174,1.191489,0.543478,1.457447,0.884058,1.446809,1.202899,0.978723,1.0,1.297872,1.282609,1.159574,0.92029,1.0,0.652174,0.659574,1.014493,0.946809,1.210145,0.787234,0.746377,0.638298,0.463768,0.319149,1.007246,0.595745,1.123188,0.468085,0.666667,0.319149,0.376812,-0.021277,1.007246,0.202128,1.427536,0.37234,1.65942,0.542553,1.891304,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0.0
0.0,0.0,0.662921,0.185897,1.213483,0.544872,1.426966,0.865385,1.359551,1.141026,0.853933,1.0,1.168539,1.198718,1.05618,0.858974,0.910112,0.628205,0.516854,0.987179,0.831461,1.096154,0.685393,0.673077,0.539326,0.423077,0.191011,0.955128,0.449438,1.025641,0.348315,0.628205,0.224719,0.378205,-0.146067,0.910256,0.022472,1.282051,0.191011,1.49359,0.359551,1.685897,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0.0
0.0,0.0,0.40625,0.122222,0.84375,0.255556,1.177083,0.277778,1.395833,0.2,0.770833,1.0,1.0625,0.7,1.177083,0.411111,1.208333,0.222222,0.40625,0.966667,0.875,0.366667,0.916667,0.0,0.864583,-0.155556,0.072917,0.744444,0.5625,0.011111,0.59375,-0.288889,0.541667,-0.377778,-0.229167,0.422222,0.208333,-0.144444,0.395833,-0.455556,0.479167,-0.622222,0.16666666666666666,0.7777777777777778,0.0,0.0,0.576923,0.127389,1.0,0.324841,1.182692,0.509554,1.096154,0.649682,0.701923,1.0,0.980769,0.757962,0.942308,0.55414,0.865385,0.515924,0.336538,0.987261,0.692308,0.605096,0.663462,0.394904,0.576923,0.363057,0.0,0.866242,0.375,0.471338,0.384615,0.292994,0.317308,0.273885,-0.298077,0.694268,0.038462,0.401274,0.192308,0.210191,0.288462,0.133758,J,0.0
0.0,0.0,0.77551,0.086957,1.428571,0.278261,1.908163,0.365217,2.27551,0.356522,1.44898,1.0,1.877551,0.4,1.673469,0.208696,1.479592,0.269565,1.091837,0.904348,1.612245,0.252174,1.387755,0.121739,1.173469,0.217391,0.765306,0.730435,1.244898,0.13913,1.061224,0.034783,0.867347,0.121739,0.44898,0.513043,0.938776,0.095652,0.846939,0.0,0.693878,0.06087,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0.0
0.0,0.0,2.363636,0.150442,5.090909,0.336283,7.136364,0.39823,8.409091,0.415929,5.727273,1.0,9.090909,0.575221,8.227273,0.362832,7.045455,0.362832,5.318182,0.893805,8.727273,0.380531,7.727273,0.19469,6.5,0.212389,5.0,0.690265,8.227273,0.185841,7.227273,0.035398,6.136364,0.070796,4.727273,0.424779,7.409091,0.026549,6.636364,-0.106195,5.727273,-0.079646,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0.0
0.0,0.0,-0.153846,0.394558,0.131868,0.863946,0.626374,1.210884,1.021978,1.367347,0.098901,1.0,0.945055,1.285714,0.912088,1.068027,0.703297,0.945578,0.43956,0.802721,1.197802,1.068027,1.131868,0.877551,0.923077,0.768707,0.78022,0.591837,1.395604,0.843537,1.318681,0.70068,1.120879,0.598639,1.098901,0.421769,1.659341,0.707483,2.0,0.863946,2.263736,1.013605,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0.0
0.0,0.0,-0.106383,0.409938,0.159574,0.832298,0.62766,1.15528,0.957447,1.291925,0.106383,1.0,0.914894,1.254658,0.925532,1.068323,0.712766,0.950311,0.446809,0.819876,1.170213,1.037267,1.12766,0.869565,0.914894,0.776398,0.797872,0.621118,1.361702,0.826087,1.308511,0.695652,1.095745,0.608696,1.106383,0.440994,1.659574,0.732919,1.978723,0.863354,2.202128,0.987578,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0.0
