x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,1.193548,0.151515,2.064516,0.434343,2.870968,0.585859,3.709677,0.686869,1.322581,1.0,2.096774,1.232323,2.903226,1.080808,3.354839,0.909091,0.967742,1.0,2.0,1.252525,2.935484,1.050505,3.354839,0.838384,0.645161,0.939394,1.645161,1.171717,2.580645,0.979798,2.967742,0.777778,0.322581,0.808081,1.193548,0.989899,2.0,0.888889,2.419355,0.747475,O
0.0,0.0,3.846154,0.212121,6.076923,0.424242,8.076923,0.535354,9.923077,0.636364,3.307692,1.0,5.923077,1.242424,8.0,1.090909,9.153846,0.919192,2.615385,1.0,6.153846,1.272727,8.461538,1.070707,9.307692,0.858586,2.384615,0.939394,5.538462,1.191919,7.846154,1.010101,8.769231,0.818182,2.307692,0.818182,4.692308,1.030303,6.538462,0.979798,7.615385,0.868687,O
0.0,0.0,10.4,0.19,16.0,0.42,21.0,0.52,25.0,0.59,8.6,1.0,16.4,1.24,22.0,1.07,24.2,0.88,7.2,0.98,17.2,1.24,23.0,1.01,24.4,0.8,7.0,0.89,15.6,1.15,21.4,0.94,22.8,0.74,7.6,0.73,14.4,0.96,19.4,0.87,21.2,0.72,O
0.0,0.0,2.4,0.159091,3.95,0.352273,5.15,0.443182,6.0,0.556818,2.7,1.0,4.35,1.284091,5.5,1.079545,6.05,0.863636,2.25,1.045455,4.35,1.340909,5.65,1.068182,6.05,0.806818,1.9,1.022727,3.85,1.318182,5.3,1.068182,5.8,0.829545,1.7,0.931818,3.3,1.170455,4.55,1.034091,5.2,0.840909,O
0.0,0.0,7.0,0.159574,11.142857,0.340426,14.428571,0.43617,16.285714,0.585106,6.0,1.0,11.285714,1.234043,15.0,1.085106,16.714286,0.893617,4.857143,1.010638,11.714286,1.255319,15.714286,1.042553,16.714286,0.819149,4.571429,0.946809,10.857143,1.191489,14.857143,1.0,16.0,0.787234,5.0,0.819149,9.857143,1.021277,13.142857,0.93617,14.714286,0.787234,O
0.0,0.0,5.1,0.159574,7.8,0.361702,9.9,0.468085,11.2,0.585106,4.5,1.0,8.2,1.234043,10.7,1.053191,11.8,0.851064,3.6,1.021277,8.3,1.265957,11.1,1.031915,11.8,0.797872,3.3,0.957447,7.6,1.212766,10.4,1.0,11.3,0.776596,3.5,0.829787,6.9,1.042553,9.2,0.93617,10.4,0.787234,O
0.0,0.0,3.428571,0.159574,5.428571,0.361702,7.0,0.468085,7.642857,0.595745,3.214286,1.0,5.785714,1.244681,7.571429,1.053191,8.071429,0.851064,2.5,1.0,5.857143,1.255319,7.714286,0.989362,8.0,0.755319,2.214286,0.925532,5.285714,1.191489,7.214286,0.957447,7.642857,0.723404,2.214286,0.787234,4.642857,1.021277,6.285714,0.925532,7.0,0.765957,O
0.0,0.0,3.769231,0.155556,5.923077,0.344444,7.615385,0.444444,8.230769,0.6,3.461538,1.0,6.307692,1.266667,8.230769,1.055556,8.769231,0.833333,2.769231,1.0,6.461538,1.277778,8.461538,1.011111,8.692308,0.766667,2.461538,0.933333,5.769231,1.211111,7.846154,0.977778,8.307692,0.744444,2.461538,0.788889,5.0,1.033333,6.846154,0.933333,7.615385,0.777778,O
0.0,0.0,3.846154,0.152174,6.153846,0.347826,8.0,0.434783,8.769231,0.565217,3.769231,1.0,6.538462,1.25,8.461538,1.043478,9.153846,0.836957,3.076923,1.021739,6.769231,1.271739,8.769231,0.98913,9.153846,0.75,2.769231,0.956522,6.153846,1.206522,8.230769,0.945652,8.692308,0.706522,2.769231,0.826087,5.461538,1.043478,7.230769,0.902174,7.923077,0.717391,O
0.0,0.0,4.166667,0.144444,6.583333,0.322222,8.583333,0.4,9.416667,0.544444,4.083333,1.0,7.166667,1.244444,9.083333,1.022222,9.75,0.822222,3.333333,1.022222,7.25,1.277778,9.416667,0.977778,9.75,0.733333,3.0,0.966667,6.583333,1.222222,8.833333,0.944444,9.25,0.7,3.083333,0.822222,5.916667,1.055556,7.75,0.9,8.416667,0.7,O
