x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,-0.408451,0.094118,-0.690141,0.329412,-0.661972,0.588235,-0.309859,0.729412,-0.478873,1.0,-0.464789,1.494118,-0.478873,1.882353,-0.478873,2.188235,-0.126761,1.0,-0.042254,1.517647,-0.15493,1.388235,-0.267606,1.2,0.225352,0.894118,0.253521,1.270588,0.042254,1.0,-0.112676,0.729412,0.521127,0.694118,0.577465,1.023529,0.380282,0.894118,0.225352,0.694118,R
0.0,0.0,-0.481013,0.092593,-0.835443,0.342593,-0.721519,0.611111,-0.43038,0.796296,-0.822785,1.0,-0.860759,1.388889,-0.873418,1.657407,-0.886076,1.916667,-0.518987,1.074074,-0.734177,1.546296,-0.886076,1.805556,-1.050633,2.074074,-0.189873,1.027778,-0.278481,1.407407,-0.291139,1.064815,-0.303797,0.787037,0.177215,0.898148,0.139241,1.175926,0.063291,0.962963,0.0,0.740741,R
0.0,0.0,-0.481013,0.092593,-0.835443,0.351852,-0.746835,0.62963,-0.455696,0.824074,-0.797468,1.0,-0.848101,1.398148,-0.873418,1.675926,-0.898734,1.935185,-0.493671,1.064815,-0.696203,1.527778,-0.860759,1.796296,-1.012658,2.083333,-0.151899,1.018519,-0.21519,1.398148,-0.253165,1.064815,-0.303797,0.787037,0.202532,0.87963,0.164557,1.148148,0.088608,0.925926,0.0,0.712963,R
0.0,0.0,-0.469136,0.092593,-0.814815,0.342593,-0.728395,0.611111,-0.419753,0.787037,-0.802469,1.0,-0.864198,1.398148,-0.888889,1.657407,-0.91358,1.916667,-0.506173,1.064815,-0.728395,1.527778,-0.888889,1.777778,-1.049383,2.046296,-0.160494,1.018519,-0.234568,1.444444,-0.259259,1.111111,-0.283951,0.824074,0.197531,0.87037,0.160494,1.157407,0.098765,0.944444,0.037037,0.722222,R
0.0,0.0,-0.454545,0.28972,-0.681818,0.626168,-0.469697,0.925234,-0.075758,1.065421,-0.484848,1.0,-0.5,1.373832,-0.5,1.616822,-0.484848,1.841121,-0.151515,1.028037,-0.181818,1.392523,-0.272727,1.616822,-0.348485,1.813084,0.166667,0.971963,0.181818,1.308411,0.045455,1.224299,-0.030303,1.065421,0.515152,0.878505,0.545455,1.158879,0.409091,1.158879,0.287879,1.046729,R
0.0,0.0,-0.479452,0.161017,-0.753425,0.440678,-0.561644,0.686441,-0.219178,0.822034,-0.575342,1.0,-0.561644,1.355932,-0.520548,1.59322,-0.479452,1.830508,-0.260274,1.042373,-0.369863,1.474576,-0.479452,1.728814,-0.561644,1.966102,0.082192,0.966102,0.123288,1.364407,-0.013699,1.101695,-0.109589,0.855932,0.424658,0.805085,0.438356,1.084746,0.287671,0.898305,0.191781,0.694915,R
0.0,0.0,-0.486486,0.181034,-0.756757,0.465517,-0.635135,0.732759,-0.324324,0.896552,-0.675676,1.0,-0.702703,1.37069,-0.689189,1.62069,-0.662162,1.862069,-0.364865,1.043103,-0.486486,1.482759,-0.608108,1.732759,-0.716216,1.974138,-0.027027,0.991379,-0.013514,1.37931,-0.094595,1.094828,-0.162162,0.844828,0.324324,0.853448,0.324324,1.12931,0.202703,0.956897,0.067568,0.75,R
0.0,0.0,-0.493333,0.172414,-0.773333,0.456897,-0.666667,0.732759,-0.333333,0.87931,-0.693333,1.0,-0.746667,1.362069,-0.746667,1.612069,-0.733333,1.844828,-0.386667,1.043103,-0.533333,1.465517,-0.653333,1.706897,-0.733333,1.965517,-0.053333,0.991379,-0.026667,1.387931,-0.133333,1.112069,-0.213333,0.862069,0.306667,0.853448,0.28,1.12931,0.16,0.956897,0.053333,0.758621,R
0.0,0.0,-0.486842,0.163793,-0.776316,0.456897,-0.605263,0.724138,-0.25,0.87069,-0.644737,1.0,-0.671053,1.362069,-0.657895,1.603448,-0.631579,1.844828,-0.328947,1.051724,-0.473684,1.474138,-0.605263,1.715517,-0.697368,1.965517,0.0,0.991379,-0.013158,1.37069,-0.105263,1.068966,-0.171053,0.810345,0.355263,0.844828,0.263158,1.077586,0.144737,0.844828,0.078947,0.637931,R
0.0,0.0,-0.466667,0.168142,-0.72,0.451327,-0.533333,0.707965,-0.173333,0.849558,-0.64,1.0,-0.626667,1.362832,-0.586667,1.610619,-0.56,1.849558,-0.32,1.044248,-0.44,1.486726,-0.546667,1.743363,-0.64,2.0,0.013333,0.982301,-0.026667,1.353982,-0.133333,1.088496,-0.226667,0.858407,0.36,0.840708,0.293333,1.070796,0.173333,0.876106,0.106667,0.672566,R
0.0,0.0,-0.473684,0.159292,-0.723684,0.451327,-0.513158,0.699115,-0.171053,0.849558,-0.631579,1.0,-0.605263,1.362832,-0.578947,1.60177,-0.552632,1.831858,-0.315789,1.044248,-0.447368,1.486726,-0.578947,1.743363,-0.697368,2.0,0.026316,0.982301,-0.013158,1.309735,-0.118421,1.035398,-0.197368,0.79646,0.368421,0.849558,0.276316,1.00885,0.144737,0.787611,0.078947,0.59292,R
0.0,0.0,-0.460526,0.163793,-0.723684,0.465517,-0.526316,0.715517,-0.184211,0.87931,-0.631579,1.0,-0.618421,1.344828,-0.592105,1.577586,-0.552632,1.801724,-0.315789,1.034483,-0.473684,1.465517,-0.605263,1.715517,-0.710526,1.948276,0.013158,0.974138,-0.013158,1.327586,-0.144737,1.060345,-0.263158,0.827586,0.368421,0.836207,0.25,1.008621,0.118421,0.784483,0.013158,0.577586,R
0.0,0.0,-0.5,0.175439,-0.791667,0.482456,-0.597222,0.745614,-0.25,0.885965,-0.652778,1.0,-0.652778,1.342105,-0.625,1.570175,-0.597222,1.789474,-0.347222,1.04386,-0.486111,1.473684,-0.625,1.719298,-0.763889,1.95614,0.0,0.982456,-0.041667,1.342105,-0.180556,1.087719,-0.291667,0.850877,0.347222,0.842105,0.208333,1.0,0.055556,0.780702,0.0,0.587719,R
0.0,0.0,-0.5,0.153153,-0.791667,0.459459,-0.611111,0.720721,-0.291667,0.891892,-0.638889,1.0,-0.666667,1.36036,-0.652778,1.612613,-0.625,1.846847,-0.319444,1.036036,-0.513889,1.477477,-0.666667,1.72973,-0.791667,1.954955,0.027778,0.972973,-0.055556,1.315315,-0.208333,1.036036,-0.291667,0.783784,0.361111,0.81982,0.236111,1.027027,0.111111,0.801802,0.041667,0.585586,R
0.0,0.0,-0.428571,0.219298,-0.657143,0.54386,-0.371429,0.780702,0.071429,0.885965,-0.471429,1.0,-0.442857,1.342105,-0.371429,1.54386,-0.285714,1.719298,-0.085714,0.982456,0.057143,1.307018,0.014286,1.131579,-0.042857,0.938596,0.242857,0.894737,0.342857,1.114035,0.185714,0.859649,0.071429,0.631579,0.528571,0.754386,0.557143,0.912281,0.4,0.754386,0.285714,0.596491,R
0.0,0.0,-0.471429,0.219298,-0.671429,0.526316,-0.428571,0.789474,-0.057143,0.938596,-0.457143,1.0,-0.428571,1.359649,-0.371429,1.605263,-0.3,1.833333,-0.1,0.991228,-0.1,1.412281,-0.2,1.614035,-0.314286,1.77193,0.228571,0.903509,0.271429,1.149123,0.1,0.903509,-0.014286,0.675439,0.542857,0.754386,0.514286,0.938596,0.328571,0.763158,0.185714,0.570175,R
0.0,0.0,-0.476923,0.232759,-0.676923,0.551724,-0.353846,0.784483,0.076923,0.896552,-0.369231,1.0,-0.292308,1.336207,-0.215385,1.551724,-0.123077,1.75,0.0,0.974138,0.061538,1.37931,0.046154,1.603448,0.046154,1.810345,0.338462,0.87069,0.4,1.155172,0.215385,0.887931,0.092308,0.655172,0.630769,0.698276,0.646154,0.922414,0.446154,0.758621,0.292308,0.577586,R
