x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,0.462687,0.1125,0.895522,0.35,1.208955,0.5125,1.119403,0.625,0.731343,1.0,0.940299,1.3375,1.0,1.075,0.985075,0.8125,0.402985,1.0125,0.522388,1.325,0.671642,0.975,0.701493,0.7,0.074627,0.9375,0.149254,1.2375,0.328358,0.9,0.402985,0.6125,-0.268657,0.8,-0.208955,1.0125,-0.029851,0.8,0.059701,0.575,S
0.0,0.0,0.418919,0.103448,0.810811,0.356322,1.027027,0.574713,0.918919,0.758621,0.662162,1.0,0.756757,1.367816,0.810811,1.114943,0.810811,0.862069,0.337838,1.034483,0.432432,1.413793,0.486486,1.068966,0.472973,0.793103,0.0,1.011494,0.067568,1.402299,0.162162,1.068966,0.175676,0.793103,-0.337838,0.942529,-0.283784,1.252874,-0.162162,1.034483,-0.121622,0.816092,S
0.0,0.0,0.447368,0.148936,0.868421,0.425532,1.026316,0.702128,0.776316,0.819149,0.605263,1.0,0.671053,1.361702,0.697368,1.117021,0.671053,0.87234,0.263158,1.010638,0.328947,1.404255,0.394737,1.074468,0.407895,0.808511,-0.065789,0.968085,-0.026316,1.361702,0.078947,1.06383,0.118421,0.797872,-0.394737,0.893617,-0.368421,1.202128,-0.236842,1.042553,-0.184211,0.851064,S
0.0,0.0,0.448718,0.148936,0.833333,0.43617,0.935897,0.702128,0.705128,0.861702,0.576923,1.0,0.641026,1.361702,0.679487,1.148936,0.666667,0.904255,0.230769,1.010638,0.294872,1.425532,0.371795,1.117021,0.384615,0.840426,-0.089744,0.978723,-0.064103,1.361702,0.064103,1.074468,0.102564,0.808511,-0.423077,0.914894,-0.423077,1.234043,-0.294872,1.095745,-0.205128,0.904255,S
0.0,0.0,0.441558,0.129032,0.857143,0.419355,0.987013,0.709677,0.753247,0.827957,0.597403,1.0,0.675325,1.408602,0.727273,1.225806,0.727273,0.978495,0.25974,1.010753,0.311688,1.430108,0.363636,1.107527,0.38961,0.817204,-0.077922,0.989247,-0.051948,1.387097,0.038961,1.107527,0.077922,0.827957,-0.402597,0.924731,-0.415584,1.247312,-0.298701,1.107527,-0.220779,0.903226,S
0.0,0.0,0.428571,0.14433,0.805195,0.42268,0.909091,0.690722,0.727273,0.85567,0.61039,1.0,0.636364,1.360825,0.688312,1.185567,0.688312,0.948454,0.25974,1.030928,0.298701,1.391753,0.337662,1.082474,0.350649,0.814433,-0.064935,1.010309,-0.064935,1.381443,0.012987,1.103093,0.051948,0.845361,-0.38961,0.938144,-0.402597,1.237113,-0.298701,1.082474,-0.233766,0.886598,S
0.0,0.0,0.434211,0.15625,0.842105,0.4375,0.986842,0.71875,0.736842,0.864583,0.605263,1.0,0.657895,1.364583,0.710526,1.208333,0.710526,0.989583,0.25,1.020833,0.302632,1.4375,0.368421,1.125,0.381579,0.854167,-0.078947,1.0,-0.065789,1.40625,0.026316,1.114583,0.065789,0.854167,-0.394737,0.927083,-0.394737,1.239583,-0.289474,1.072917,-0.236842,0.895833,S
0.0,0.0,0.423077,0.14433,0.794872,0.42268,0.897436,0.690722,0.692308,0.876289,0.602564,1.0,0.666667,1.350515,0.666667,1.175258,0.628205,0.958763,0.25641,1.030928,0.307692,1.43299,0.333333,1.113402,0.346154,0.845361,-0.076923,1.010309,-0.051282,1.371134,0.038462,1.072165,0.076923,0.814433,-0.397436,0.927835,-0.397436,1.237113,-0.282051,1.082474,-0.205128,0.886598,S
0.0,0.0,0.454545,0.14,0.857143,0.42,0.948052,0.71,0.675325,0.84,0.571429,1.0,0.623377,1.33,0.649351,1.15,0.623377,0.93,0.220779,1.02,0.272727,1.37,0.324675,1.05,0.337662,0.78,-0.103896,0.99,-0.077922,1.33,0.012987,1.04,0.038961,0.78,-0.428571,0.91,-0.415584,1.19,-0.311688,1.02,-0.25974,0.83,S
0.0,0.0,0.454545,0.142857,0.844156,0.438776,0.935065,0.714286,0.714286,0.877551,0.584416,1.0,0.636364,1.357143,0.675325,1.193878,0.688312,0.969388,0.246753,1.020408,0.285714,1.418367,0.337662,1.112245,0.363636,0.826531,-0.090909,0.989796,-0.064935,1.377551,0.025974,1.091837,0.077922,0.816327,-0.415584,0.918367,-0.38961,1.234694,-0.285714,1.071429,-0.233766,0.867347,S
0.0,0.0,0.448718,0.136842,0.846154,0.421053,0.935897,0.726316,0.679487,0.894737,0.602564,1.0,0.653846,1.368421,0.666667,1.210526,0.653846,0.978947,0.25641,1.021053,0.307692,1.431579,0.346154,1.126316,0.358974,0.842105,-0.076923,1.0,-0.051282,1.389474,0.038462,1.115789,0.076923,0.831579,-0.397436,0.926316,-0.384615,1.242105,-0.294872,1.094737,-0.230769,0.905263,S
0.0,0.0,0.428571,0.135417,0.831169,0.427083,0.935065,0.71875,0.675325,0.854167,0.584416,1.0,0.636364,1.354167,0.662338,1.145833,0.636364,0.90625,0.246753,1.020833,0.311688,1.416667,0.350649,1.083333,0.363636,0.8125,-0.090909,1.0,-0.064935,1.375,0.038961,1.09375,0.064935,0.822917,-0.415584,0.927083,-0.415584,1.229167,-0.298701,1.072917,-0.233766,0.875,S
0.0,0.0,0.410256,0.123711,0.794872,0.402062,0.884615,0.690722,0.628205,0.845361,0.564103,1.0,0.589744,1.350515,0.641026,1.206186,0.653846,1.0,0.217949,1.020619,0.269231,1.42268,0.320513,1.103093,0.333333,0.85567,-0.102564,0.979381,-0.076923,1.360825,0.012821,1.072165,0.038462,0.814433,-0.435897,0.907216,-0.435897,1.226804,-0.333333,1.072165,-0.282051,0.896907,S
0.0,0.0,0.415584,0.138298,0.805195,0.414894,0.961039,0.670213,0.753247,0.829787,0.597403,1.0,0.636364,1.382979,0.701299,1.276596,0.701299,1.074468,0.25974,1.021277,0.311688,1.446809,0.376623,1.148936,0.38961,0.882979,-0.077922,0.989362,-0.025974,1.393617,0.064935,1.106383,0.090909,0.840426,-0.402597,0.925532,-0.415584,1.276596,-0.285714,1.12766,-0.220779,0.925532,S
0.0,0.0,0.405063,0.129032,0.746835,0.397849,0.873418,0.666667,0.721519,0.88172,0.582278,1.0,0.594937,1.376344,0.632911,1.290323,0.658228,1.11828,0.240506,1.032258,0.253165,1.451613,0.303797,1.172043,0.329114,0.924731,-0.101266,1.021505,-0.101266,1.408602,-0.025316,1.129032,0.025316,0.870968,-0.417722,0.956989,-0.43038,1.258065,-0.341772,1.086022,-0.278481,0.892473,S
0.0,0.0,0.333333,0.121951,0.607843,0.382114,0.764706,0.634146,0.578431,0.804878,0.529412,1.0,0.509804,1.357724,0.529412,1.276423,0.539216,1.073171,0.166667,1.01626,0.156863,1.406504,0.156863,1.056911,0.205882,0.821138,-0.156863,0.98374,-0.205882,1.349593,-0.156863,1.04065,-0.098039,0.780488,-0.470588,0.886179,-0.519608,1.186992,-0.45098,1.02439,-0.372549,0.837398,S
0.0,0.0,0.35,0.121622,0.633333,0.391892,0.733333,0.641892,0.5,0.77027,0.483333,1.0,0.466667,1.331081,0.45,1.101351,0.433333,0.891892,0.116667,1.006757,0.083333,1.378378,0.1,1.02027,0.133333,0.804054,-0.216667,0.959459,-0.266667,1.297297,-0.2,0.972973,-0.15,0.75,-0.516667,0.851351,-0.55,1.101351,-0.483333,0.918919,-0.425,0.763514,S
0.0,0.0,0.318519,0.057325,0.62963,0.299363,0.814815,0.55414,0.585185,0.726115,0.548148,1.0,0.518519,1.356688,0.518519,1.191083,0.503704,0.961783,0.177778,1.019108,0.148148,1.382166,0.155556,0.968153,0.2,0.751592,-0.148148,0.993631,-0.207407,1.33758,-0.148148,0.968153,-0.103704,0.707006,-0.451852,0.917197,-0.525926,1.184713,-0.474074,0.961783,-0.414815,0.757962,S
0.0,0.0,0.359712,0.055901,0.697842,0.298137,0.870504,0.540373,0.633094,0.695652,0.597122,1.0,0.604317,1.341615,0.568345,1.049689,0.539568,0.801242,0.23741,1.024845,0.215827,1.360248,0.230216,0.919255,0.258993,0.689441,-0.100719,0.993789,-0.143885,1.31677,-0.079137,0.931677,-0.028777,0.677019,-0.402878,0.906832,-0.467626,1.149068,-0.388489,0.919255,-0.316547,0.73913,S
0.0,0.0,0.347518,0.050314,0.695035,0.283019,0.879433,0.503145,0.673759,0.647799,0.595745,1.0,0.602837,1.339623,0.560284,1.006289,0.531915,0.773585,0.234043,1.018868,0.234043,1.352201,0.255319,0.880503,0.276596,0.666667,-0.099291,0.987421,-0.12766,1.339623,-0.056738,0.924528,-0.021277,0.679245,-0.404255,0.91195,-0.453901,1.176101,-0.375887,0.930818,-0.326241,0.735849,S
0.0,0.0,0.340741,0.033557,0.674074,0.261745,0.874074,0.47651,0.703704,0.630872,0.577778,1.0,0.592593,1.38255,0.562963,1.067114,0.540741,0.812081,0.207407,1.020134,0.214815,1.409396,0.237037,0.946309,0.259259,0.704698,-0.125926,0.993289,-0.155556,1.362416,-0.074074,0.966443,-0.02963,0.697987,-0.422222,0.912752,-0.496296,1.187919,-0.422222,0.959732,-0.385185,0.765101,S
0.0,0.0,0.375,0.053333,0.713235,0.28,0.904412,0.526667,0.683824,0.666667,0.617647,1.0,0.632353,1.373333,0.610294,1.06,0.573529,0.82,0.25,1.026667,0.264706,1.406667,0.279412,0.94,0.294118,0.713333,-0.080882,1.006667,-0.095588,1.386667,-0.022059,0.98,0.014706,0.713333,-0.382353,0.92,-0.419118,1.213333,-0.338235,0.98,-0.286765,0.773333,S
0.0,0.0,0.360902,0.033333,0.714286,0.266667,0.894737,0.493333,0.676692,0.66,0.601504,1.0,0.609023,1.353333,0.578947,1.046667,0.56391,0.806667,0.240602,1.02,0.240602,1.386667,0.255639,0.94,0.270677,0.7,-0.090226,0.993333,-0.120301,1.34,-0.052632,0.946667,-0.015038,0.68,-0.398496,0.92,-0.451128,1.186667,-0.37594,0.953333,-0.308271,0.76,S
0.0,0.0,0.367188,0.040816,0.710938,0.272109,0.890625,0.496599,0.695312,0.653061,0.617188,1.0,0.617188,1.346939,0.585938,1.027211,0.5625,0.802721,0.257812,1.013605,0.265625,1.380952,0.28125,0.931973,0.304688,0.70068,-0.070312,0.986395,-0.101562,1.333333,-0.015625,0.945578,0.015625,0.693878,-0.382812,0.911565,-0.421875,1.183673,-0.335938,0.952381,-0.28125,0.768707,S
0.0,0.0,0.314607,0.152941,0.617978,0.529412,0.764045,0.847059,0.898876,1.035294,0.460674,1.0,0.539326,1.388235,0.561798,1.670588,0.550562,1.917647,0.134831,1.070588,0.168539,1.458824,0.168539,1.752941,0.134831,2.011765,-0.202247,1.047059,-0.191011,1.447059,-0.179775,1.729412,-0.202247,1.941176,-0.539326,0.952941,-0.573034,1.294118,-0.561798,1.494118,-0.550562,1.647059,S
0.0,0.0,0.464286,0.196429,0.797619,0.455357,0.869048,0.723214,0.833333,0.901786,0.607143,1.0,0.630952,1.375,0.738095,1.3125,0.797619,1.151786,0.27381,1.026786,0.285714,1.419643,0.380952,1.223214,0.416667,0.973214,-0.047619,1.017857,-0.047619,1.375,0.083333,1.1875,0.119048,0.928571,-0.392857,0.964286,-0.404762,1.276786,-0.261905,1.178571,-0.178571,0.982143,S
0.0,0.0,0.41791,0.136364,0.761194,0.409091,0.880597,0.693182,0.641791,0.886364,0.552239,1.0,0.58209,1.454545,0.61194,1.306818,0.626866,1.079545,0.208955,1.011364,0.223881,1.488636,0.268657,1.204545,0.283582,0.954545,-0.119403,0.988636,-0.119403,1.431818,-0.044776,1.181818,0.0,0.909091,-0.447761,0.920455,-0.462687,1.25,-0.373134,1.113636,-0.313433,0.920455,S
0.0,0.0,0.433333,0.126437,0.783333,0.425287,0.9,0.712644,0.633333,0.850575,0.516667,1.0,0.516667,1.37931,0.516667,1.298851,0.5,1.137931,0.166667,1.011494,0.15,1.413793,0.2,1.137931,0.25,0.885057,-0.15,0.988506,-0.183333,1.344828,-0.083333,1.103448,-0.016667,0.827586,-0.483333,0.931034,-0.55,1.241379,-0.433333,1.126437,-0.35,0.931034,S
0.0,0.0,0.403226,0.139535,0.725806,0.395349,0.83871,0.651163,0.677419,0.825581,0.532258,1.0,0.532258,1.395349,0.564516,1.302326,0.596774,1.104651,0.177419,1.011628,0.16129,1.44186,0.209677,1.186047,0.258065,0.930233,-0.145161,0.988372,-0.193548,1.383721,-0.096774,1.139535,-0.032258,0.883721,-0.467742,0.918605,-0.516129,1.22093,-0.403226,1.093023,-0.33871,0.906977,S
0.0,0.0,0.466667,0.168675,0.85,0.445783,0.933333,0.73494,0.683333,0.951807,0.533333,1.0,0.566667,1.39759,0.65,1.277108,0.7,1.060241,0.2,1.012048,0.183333,1.457831,0.266667,1.216867,0.316667,0.951807,-0.133333,0.975904,-0.166667,1.385542,-0.066667,1.180723,0.0,0.927711,-0.466667,0.915663,-0.533333,1.240964,-0.416667,1.156627,-0.35,0.987952,S
