x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,-0.505376,0.256098,-0.827957,0.804878,-0.913978,1.329268,-0.913978,1.731707,-0.731183,1.0,-0.784946,1.585366,-0.817204,1.926829,-0.83871,2.207317,-0.408602,1.073171,-0.473118,1.621951,-0.462366,1.536585,-0.451613,1.365854,-0.064516,1.097561,-0.139785,1.597561,-0.150538,1.353659,-0.150538,1.085366,0.268817,1.097561,0.172043,1.512195,0.139785,1.341463,0.129032,1.121951,T
0.0,0.0,-0.470588,0.239583,-0.717647,0.625,-0.752941,0.989583,-0.764706,1.270833,-0.705882,1.0,-0.8,1.3125,-0.788235,1.40625,-0.741176,1.3125,-0.388235,1.03125,-0.447059,1.40625,-0.388235,1.125,-0.352941,0.854167,-0.058824,1.010417,-0.082353,1.302083,-0.082353,0.958333,-0.082353,0.677083,0.294118,0.916667,0.258824,1.1875,0.176471,0.9375,0.117647,0.697917,T
0.0,0.0,-0.443182,0.214286,-0.693182,0.632653,-0.681818,1.0,-0.590909,1.265306,-0.670455,1.0,-0.818182,1.326531,-0.761364,1.397959,-0.636364,1.244898,-0.352273,1.05102,-0.386364,1.44898,-0.340909,1.173469,-0.306818,0.867347,-0.022727,1.020408,-0.034091,1.336735,-0.056818,0.989796,-0.068182,0.693878,0.329545,0.918367,0.306818,1.193878,0.215909,0.94898,0.136364,0.704082,T
0.0,0.0,-0.471264,0.25,-0.712644,0.644231,-0.678161,0.990385,-0.54023,1.230769,-0.62069,1.0,-0.758621,1.307692,-0.735632,1.365385,-0.632184,1.201923,-0.298851,1.028846,-0.321839,1.403846,-0.310345,1.115385,-0.287356,0.817308,0.022989,0.980769,0.0,1.269231,-0.034483,0.932692,-0.045977,0.653846,0.37931,0.875,0.333333,1.153846,0.241379,0.913462,0.172414,0.692308,T
0.0,0.0,-0.418605,0.240741,-0.639535,0.638889,-0.581395,0.972222,-0.418605,1.203704,-0.5,1.0,-0.581395,1.333333,-0.55814,1.351852,-0.511628,1.148148,-0.162791,1.0,-0.186047,1.361111,-0.22093,1.101852,-0.244186,0.814815,0.162791,0.925926,0.139535,1.212963,0.046512,0.888889,0.0,0.62037,0.5,0.796296,0.476744,1.046296,0.348837,0.833333,0.255814,0.62963,T
0.0,0.0,-0.423529,0.230769,-0.658824,0.605769,-0.611765,0.942308,-0.447059,1.182692,-0.517647,1.0,-0.588235,1.336538,-0.564706,1.375,-0.517647,1.173077,-0.188235,0.990385,-0.188235,1.375,-0.235294,1.125,-0.258824,0.836538,0.141176,0.923077,0.129412,1.211538,0.035294,0.903846,-0.011765,0.634615,0.482353,0.798077,0.447059,1.067308,0.329412,0.846154,0.247059,0.634615,T
0.0,0.0,-0.470588,0.244444,-0.705882,0.622222,-0.676471,0.922222,-0.470588,1.1,-0.441176,1.0,-0.514706,1.333333,-0.558824,1.366667,-0.573529,1.211111,-0.132353,1.0,-0.205882,1.388889,-0.294118,1.155556,-0.308824,0.877778,0.191176,0.933333,0.117647,1.222222,0.0,0.911111,0.0,0.622222,0.558824,0.811111,0.455882,1.088889,0.308824,0.866667,0.264706,0.633333,T
0.0,0.0,-0.458333,0.228261,-0.708333,0.630435,-0.625,0.956522,-0.430556,1.141304,-0.458333,1.0,-0.555556,1.326087,-0.611111,1.380435,-0.611111,1.228261,-0.152778,1.01087,-0.208333,1.413043,-0.305556,1.206522,-0.333333,0.923913,0.180556,0.945652,0.097222,1.23913,-0.013889,0.913043,-0.027778,0.630435,0.541667,0.826087,0.430556,1.097826,0.291667,0.869565,0.25,0.641304,T
0.0,0.0,-0.401869,0.240602,-0.598131,0.654135,-0.514019,0.977444,-0.308411,1.150376,-0.373832,1.0,-0.420561,1.315789,-0.457944,1.368421,-0.495327,1.218045,-0.056075,0.992481,-0.065421,1.390977,-0.168224,1.142857,-0.205607,0.87218,0.271028,0.909774,0.233645,1.18797,0.102804,0.857143,0.056075,0.609023,0.626168,0.766917,0.560748,1.007519,0.411215,0.789474,0.345794,0.601504,T
0.0,0.0,-0.413223,0.260606,-0.545455,0.684848,-0.363636,1.006061,-0.165289,1.266667,-0.347107,1.0,-0.404959,1.30303,-0.429752,1.30303,-0.421488,1.133333,0.0,0.987879,0.057851,1.339394,-0.082645,1.042424,-0.140496,0.787879,0.330579,0.890909,0.355372,1.157576,0.165289,0.818182,0.082645,0.587879,0.652893,0.739394,0.661157,0.969697,0.471074,0.751515,0.347107,0.581818,T
