x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,-0.455696,0.22549,-0.620253,0.696078,-0.518987,1.098039,-0.468354,1.392157,-0.405063,1.0,-0.417722,1.401961,-0.405063,1.705882,-0.379747,1.960784,-0.075949,1.009804,-0.101266,1.441176,-0.126582,1.676471,-0.126582,1.852941,0.265823,0.941176,0.303797,1.235294,0.177215,0.882353,0.113924,0.578431,0.594937,0.813725,0.556962,1.058824,0.43038,0.813725,0.379747,0.578431,V
0.0,0.0,-0.48,0.287356,-0.693333,0.735632,-0.626667,1.172414,-0.56,1.494253,-0.64,1.0,-0.853333,1.436782,-0.986667,1.735632,-1.066667,2.0,-0.293333,1.045977,-0.293333,1.54023,-0.28,1.896552,-0.226667,2.195402,0.04,0.977011,0.026667,1.275862,-0.013333,0.91954,-0.013333,0.62069,0.36,0.862069,0.293333,1.126437,0.226667,0.862069,0.213333,0.62069,V
0.0,0.0,-0.444444,0.278351,-0.625,0.721649,-0.458333,1.113402,-0.333333,1.402062,-0.513889,1.0,-0.638889,1.42268,-0.694444,1.701031,-0.736111,1.948454,-0.152778,1.0,-0.013889,1.453608,0.083333,1.773196,0.222222,2.030928,0.180556,0.886598,0.277778,1.113402,0.152778,0.793814,0.083333,0.525773,0.486111,0.742268,0.5,0.948454,0.375,0.71134,0.305556,0.494845,V
0.0,0.0,-0.416667,0.313725,-0.513889,0.754902,-0.333333,1.117647,-0.194444,1.372549,-0.430556,1.0,-0.527778,1.411765,-0.569444,1.696078,-0.569444,1.941176,-0.069444,0.970588,0.083333,1.372549,0.194444,1.686275,0.333333,1.941176,0.277778,0.852941,0.361111,1.098039,0.236111,0.784314,0.180556,0.519608,0.569444,0.696078,0.555556,0.901961,0.444444,0.666667,0.388889,0.460784,V
0.0,0.0,-0.447368,0.306931,-0.552632,0.762376,-0.381579,1.128713,-0.289474,1.415842,-0.460526,1.0,-0.539474,1.445545,-0.592105,1.722772,-0.605263,1.960396,-0.092105,0.980198,0.026316,1.415842,0.118421,1.742574,0.25,2.009901,0.236842,0.861386,0.289474,1.049505,0.184211,0.732673,0.144737,0.485149,0.539474,0.712871,0.526316,0.920792,0.434211,0.673267,0.394737,0.475248,V
0.0,0.0,-0.44,0.307692,-0.546667,0.759615,-0.36,1.115385,-0.24,1.384615,-0.426667,1.0,-0.533333,1.432692,-0.573333,1.711538,-0.586667,1.951923,-0.066667,0.971154,0.053333,1.413462,0.146667,1.740385,0.253333,2.009615,0.253333,0.865385,0.293333,1.038462,0.2,0.740385,0.16,0.490385,0.573333,0.721154,0.56,0.932692,0.453333,0.701923,0.413333,0.490385,V
0.0,0.0,-0.426829,0.287129,-0.597561,0.752475,-0.463415,1.148515,-0.353659,1.445545,-0.5,1.0,-0.670732,1.485149,-0.768293,1.772277,-0.829268,2.039604,-0.158537,1.019802,-0.097561,1.524752,-0.04878,1.871287,0.04878,2.168317,0.182927,0.940594,0.207317,1.148515,0.109756,0.80198,0.085366,0.554455,0.5,0.80198,0.463415,1.019802,0.353659,0.752475,0.317073,0.554455,V
0.0,0.0,-0.443548,0.265823,-0.58871,0.746835,-0.491935,1.14557,-0.403226,1.449367,-0.516129,1.0,-0.637097,1.455696,-0.709677,1.740506,-0.75,1.993671,-0.153226,1.0,-0.056452,1.443038,0.048387,1.778481,0.169355,2.075949,0.169355,0.905063,0.266129,1.088608,0.169355,0.727848,0.096774,0.462025,0.483871,0.772152,0.5,0.943038,0.403226,0.689873,0.322581,0.474684,V
0.0,0.0,-0.409836,0.279503,-0.508197,0.751553,-0.360656,1.136646,-0.270492,1.42236,-0.418033,1.0,-0.54918,1.453416,-0.614754,1.732919,-0.647541,1.981366,-0.04918,0.993789,0.032787,1.447205,0.122951,1.782609,0.237705,2.074534,0.270492,0.900621,0.344262,1.111801,0.245902,0.763975,0.180328,0.509317,0.581967,0.770186,0.606557,0.956522,0.491803,0.701863,0.42623,0.515528,V
0.0,0.0,-0.414634,0.284848,-0.520325,0.751515,-0.365854,1.121212,-0.252033,1.406061,-0.398374,1.0,-0.528455,1.436364,-0.593496,1.709091,-0.626016,1.963636,-0.03252,0.993939,0.04065,1.430303,0.138211,1.763636,0.260163,2.054545,0.284553,0.89697,0.317073,1.090909,0.219512,0.739394,0.154472,0.472727,0.601626,0.775758,0.601626,0.963636,0.479675,0.721212,0.414634,0.527273,V
