x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,-0.323077,0.328125,-0.369231,0.828125,-0.215385,1.25,-0.092308,1.53125,-0.4,1.0,-0.553846,1.765625,-0.630769,2.25,-0.676923,2.609375,-0.046154,1.046875,0.015385,1.921875,0.092308,2.453125,0.153846,2.875,0.307692,1.0,0.523077,1.75,0.676923,2.203125,0.8,2.546875,0.6,0.890625,0.753846,1.40625,0.815385,1.703125,0.846154,1.890625,W
0.0,0.0,0.391304,0.190476,0.594203,0.504762,0.217391,0.685714,-0.15942,0.752381,0.565217,1.0,0.710145,1.371429,0.782609,1.590476,0.811594,1.790476,0.173913,1.038095,0.246377,1.466667,0.26087,1.72381,0.275362,1.942857,-0.144928,0.971429,-0.246377,1.333333,-0.289855,1.6,-0.347826,1.838095,-0.434783,0.828571,-0.434783,0.980952,-0.347826,0.819048,-0.289855,0.638095,W
0.0,0.0,0.423729,0.148936,0.711864,0.489362,0.322034,0.744681,-0.101695,0.87234,0.677966,1.0,0.915254,1.351064,1.033898,1.574468,1.101695,1.776596,0.305085,1.074468,0.372881,1.5,0.372881,1.755319,0.338983,2.0,-0.016949,1.031915,-0.016949,1.404255,-0.033898,1.659574,-0.101695,1.882979,-0.322034,0.914894,-0.271186,1.117021,-0.220339,0.946809,-0.220339,0.765957,W
0.0,0.0,0.433333,0.146067,0.7,0.460674,0.283333,0.696629,-0.1,0.820225,0.716667,1.0,0.983333,1.370787,1.133333,1.595506,1.233333,1.808989,0.366667,1.089888,0.533333,1.516854,0.6,1.786517,0.666667,2.022472,0.033333,1.05618,0.033333,1.460674,0.033333,1.741573,0.033333,1.988764,-0.283333,0.932584,-0.233333,1.11236,-0.166667,0.921348,-0.133333,0.730337,W
0.0,0.0,0.440678,0.159091,0.677966,0.465909,0.254237,0.693182,-0.135593,0.806818,0.677966,1.0,0.932203,1.363636,1.067797,1.590909,1.169492,1.795455,0.322034,1.068182,0.474576,1.511364,0.559322,1.784091,0.610169,2.011364,-0.016949,1.022727,-0.033898,1.443182,-0.033898,1.715909,-0.050847,1.954545,-0.322034,0.897727,-0.305085,1.079545,-0.271186,0.909091,-0.237288,0.727273,W
0.0,0.0,0.435484,0.157895,0.66129,0.505263,0.209677,0.726316,-0.241935,0.8,0.645161,1.0,0.870968,1.357895,0.983871,1.578947,1.048387,1.768421,0.274194,1.052632,0.354839,1.473684,0.387097,1.726316,0.419355,1.947368,-0.064516,1.0,-0.112903,1.4,-0.145161,1.673684,-0.177419,1.915789,-0.354839,0.863158,-0.33871,1.021053,-0.258065,0.863158,-0.225806,0.694737,W
0.0,0.0,0.425,0.192982,0.65,0.587719,0.175,0.815789,-0.2875,0.868421,0.6,1.0,0.7875,1.350877,0.875,1.570175,0.925,1.754386,0.225,1.052632,0.2875,1.473684,0.3,1.719298,0.325,1.921053,-0.1,1.0,-0.125,1.421053,-0.15,1.710526,-0.1875,1.973684,-0.4,0.850877,-0.3625,1.04386,-0.25,0.894737,-0.1875,0.719298,W
0.0,0.0,0.4,0.183099,0.611111,0.542254,0.177778,0.746479,-0.277778,0.78169,0.522222,1.0,0.666667,1.359155,0.755556,1.577465,0.777778,1.767606,0.155556,1.042254,0.177778,1.457746,0.166667,1.711268,0.133333,1.922535,-0.177778,0.985915,-0.255556,1.387324,-0.3,1.65493,-0.366667,1.901408,-0.477778,0.838028,-0.433333,1.021127,-0.344444,0.84507,-0.311111,0.661972,W
0.0,0.0,0.402174,0.183673,0.608696,0.55102,0.163043,0.748299,-0.304348,0.789116,0.51087,1.0,0.663043,1.333333,0.75,1.530612,0.782609,1.714286,0.141304,1.040816,0.152174,1.428571,0.141304,1.653061,0.119565,1.85034,-0.184783,0.979592,-0.23913,1.333333,-0.26087,1.585034,-0.315217,1.823129,-0.48913,0.85034,-0.423913,1.013605,-0.315217,0.85034,-0.271739,0.687075,W
0.0,0.0,0.385417,0.172662,0.572917,0.532374,0.135417,0.769784,-0.302083,0.827338,0.666667,1.0,0.885417,1.366906,1.0,1.589928,1.0625,1.791367,0.3125,1.071942,0.4375,1.489209,0.5,1.733813,0.541667,1.94964,-0.020833,1.035971,-0.020833,1.42446,-0.010417,1.690647,-0.020833,1.935252,-0.333333,0.913669,-0.3125,1.093525,-0.28125,0.935252,-0.302083,0.76259,W
0.0,0.0,0.380435,0.192593,0.586957,0.562963,0.184783,0.792593,-0.228261,0.851852,0.619565,1.0,0.847826,1.377778,0.967391,1.607407,1.043478,1.814815,0.26087,1.059259,0.391304,1.511111,0.456522,1.77037,0.51087,1.985185,-0.065217,1.022222,-0.076087,1.437037,-0.054348,1.711111,-0.054348,1.955556,-0.380435,0.888889,-0.336957,1.074074,-0.282609,0.903704,-0.26087,0.725926,W
0.0,0.0,0.447917,0.206897,0.614583,0.593103,0.135417,0.806897,-0.34375,0.855172,0.635417,1.0,0.802083,1.337931,0.895833,1.565517,0.947917,1.744828,0.28125,1.034483,0.354167,1.441379,0.395833,1.689655,0.427083,1.903448,-0.0625,0.986207,-0.09375,1.37931,-0.114583,1.668966,-0.166667,1.937931,-0.364583,0.862069,-0.322917,0.993103,-0.21875,0.82069,-0.208333,0.641379,W
0.0,0.0,0.43299,0.205674,0.608247,0.617021,0.103093,0.851064,-0.371134,0.893617,0.597938,1.0,0.783505,1.361702,0.865979,1.58156,0.927835,1.780142,0.237113,1.042553,0.350515,1.468085,0.402062,1.723404,0.463918,1.93617,-0.092784,0.992908,-0.134021,1.411348,-0.134021,1.70922,-0.164948,1.978723,-0.402062,0.865248,-0.350515,1.035461,-0.257732,0.87234,-0.226804,0.702128,W
0.0,0.0,0.435294,0.186047,0.658824,0.565891,0.176471,0.790698,-0.294118,0.844961,0.647059,1.0,0.870588,1.364341,0.976471,1.581395,1.047059,1.782946,0.282353,1.069767,0.411765,1.496124,0.482353,1.751938,0.552941,1.968992,-0.058824,1.023256,-0.058824,1.44186,-0.035294,1.728682,-0.035294,1.984496,-0.352941,0.899225,-0.317647,1.085271,-0.247059,0.922481,-0.247059,0.744186,W
0.0,0.0,0.421053,0.155963,0.644737,0.513761,0.263158,0.761468,-0.144737,0.844037,0.723684,1.0,0.960526,1.366972,1.092105,1.59633,1.171053,1.807339,0.381579,1.091743,0.513158,1.53211,0.592105,1.788991,0.657895,2.018349,0.039474,1.055046,0.039474,1.46789,0.052632,1.761468,0.052632,2.018349,-0.276316,0.926606,-0.236842,1.091743,-0.184211,0.908257,-0.171053,0.724771,W
0.0,0.0,0.42623,0.177778,0.639344,0.533333,0.229508,0.766667,-0.180328,0.833333,0.737705,1.0,1.016393,1.366667,1.163934,1.577778,1.262295,1.788889,0.377049,1.077778,0.540984,1.522222,0.622951,1.777778,0.688525,2.0,0.032787,1.044444,0.0,1.444444,0.0,1.744444,-0.016393,2.0,-0.262295,0.911111,-0.262295,1.044444,-0.196721,0.866667,-0.180328,0.677778,W
0.0,0.0,0.421053,0.190476,0.631579,0.535714,0.245614,0.761905,-0.157895,0.821429,0.684211,1.0,0.964912,1.369048,1.122807,1.583333,1.22807,1.785714,0.333333,1.071429,0.491228,1.511905,0.561404,1.761905,0.631579,1.97619,0.0,1.02381,-0.070175,1.428571,-0.105263,1.714286,-0.140351,1.964286,-0.315789,0.880952,-0.333333,1.035714,-0.280702,0.880952,-0.245614,0.714286,W
0.0,0.0,0.403846,0.197368,0.596154,0.552632,0.211538,0.776316,-0.192308,0.828947,0.692308,1.0,0.923077,1.394737,1.057692,1.618421,1.153846,1.828947,0.326923,1.078947,0.461538,1.526316,0.5,1.789474,0.557692,2.0,-0.019231,1.026316,-0.096154,1.447368,-0.153846,1.710526,-0.192308,1.947368,-0.307692,0.881579,-0.384615,1.039474,-0.326923,0.881579,-0.288462,0.710526,W
0.0,0.0,0.392157,0.213333,0.568627,0.546667,0.196078,0.76,-0.196078,0.813333,0.686275,1.0,0.901961,1.386667,1.019608,1.613333,1.098039,1.826667,0.313725,1.066667,0.431373,1.506667,0.470588,1.773333,0.490196,2.0,-0.019608,1.013333,-0.098039,1.426667,-0.176471,1.68,-0.215686,1.906667,-0.313725,0.866667,-0.392157,1.013333,-0.333333,0.853333,-0.313725,0.693333,W
0.0,0.0,0.411765,0.202703,0.607843,0.554054,0.196078,0.783784,-0.196078,0.851351,0.686275,1.0,0.901961,1.405405,1.019608,1.635135,1.117647,1.851351,0.313725,1.054054,0.411765,1.513514,0.431373,1.797297,0.470588,2.040541,-0.019608,1.0,-0.117647,1.432432,-0.176471,1.716216,-0.196078,1.972973,-0.313725,0.851351,-0.392157,1.013514,-0.333333,0.851351,-0.254902,0.662162,W
0.0,0.0,0.423077,0.213333,0.596154,0.56,0.192308,0.746667,-0.230769,0.8,0.673077,1.0,0.903846,1.4,1.019231,1.64,1.096154,1.853333,0.288462,1.053333,0.423077,1.52,0.461538,1.8,0.5,2.026667,-0.038462,1.0,-0.115385,1.426667,-0.153846,1.706667,-0.173077,1.946667,-0.326923,0.853333,-0.365385,1.013333,-0.288462,0.853333,-0.230769,0.666667,W
0.0,0.0,0.423077,0.192308,0.596154,0.551282,0.153846,0.75641,-0.25,0.820513,0.673077,1.0,0.903846,1.384615,1.019231,1.615385,1.096154,1.833333,0.307692,1.051282,0.403846,1.5,0.442308,1.782051,0.480769,2.012821,-0.038462,1.0,-0.115385,1.423077,-0.153846,1.679487,-0.211538,1.923077,-0.326923,0.858974,-0.346154,1.0,-0.269231,0.820513,-0.230769,0.628205,W
0.0,0.0,0.425926,0.192308,0.62963,0.538462,0.222222,0.74359,-0.185185,0.794872,0.666667,1.0,0.888889,1.384615,1.0,1.615385,1.074074,1.833333,0.296296,1.064103,0.407407,1.512821,0.444444,1.794872,0.5,2.025641,-0.037037,1.012821,-0.111111,1.435897,-0.148148,1.705128,-0.148148,1.961538,-0.333333,0.858974,-0.388889,1.025641,-0.296296,0.858974,-0.222222,0.679487,W
0.0,0.0,0.407407,0.164557,0.62963,0.518987,0.203704,0.746835,-0.203704,0.78481,0.703704,1.0,0.944444,1.392405,1.055556,1.620253,1.148148,1.848101,0.351852,1.075949,0.462963,1.531646,0.5,1.810127,0.555556,2.050633,0.0,1.037975,-0.037037,1.455696,-0.055556,1.721519,-0.055556,1.974684,-0.296296,0.898734,-0.388889,1.063291,-0.351852,0.911392,-0.314815,0.734177,W
0.0,0.0,0.392857,0.048387,0.625,0.467742,0.196429,0.790323,-0.232143,0.903226,0.714286,1.0,0.928571,1.532258,1.035714,1.887097,1.125,2.193548,0.357143,1.112903,0.482143,1.693548,0.517857,2.080645,0.553571,2.419355,0.035714,1.080645,0.017857,1.612903,-0.017857,1.983871,-0.053571,2.306452,-0.285714,0.903226,-0.285714,1.112903,-0.25,0.935484,-0.232143,0.741935,W
0.0,0.0,0.403509,0.17284,0.631579,0.530864,0.245614,0.790123,-0.157895,0.851852,0.701754,1.0,0.894737,1.407407,1.0,1.654321,1.070175,1.864198,0.333333,1.074074,0.438596,1.54321,0.473684,1.82716,0.491228,2.074074,0.0,1.049383,-0.017544,1.469136,-0.035088,1.740741,-0.035088,1.987654,-0.298246,0.91358,-0.333333,1.111111,-0.298246,0.950617,-0.280702,0.765432,W
0.0,0.0,0.431034,0.160494,0.672414,0.518519,0.275862,0.777778,-0.137931,0.864198,0.724138,1.0,0.931034,1.407407,1.034483,1.641975,1.103448,1.876543,0.362069,1.08642,0.465517,1.555556,0.5,1.839506,0.534483,2.08642,0.034483,1.061728,0.017241,1.481481,0.017241,1.753086,0.034483,2.012346,-0.275862,0.925926,-0.293103,1.111111,-0.258621,0.938272,-0.224138,0.753086,W
0.0,0.0,0.396552,0.17284,0.637931,0.530864,0.258621,0.802469,-0.12069,0.876543,0.706897,1.0,0.913793,1.395062,1.017241,1.641975,1.086207,1.864198,0.344828,1.074074,0.448276,1.54321,0.482759,1.82716,0.517241,2.074074,0.017241,1.049383,0.0,1.469136,0.0,1.753086,0.0,2.0,-0.293103,0.925926,-0.310345,1.123457,-0.275862,0.950617,-0.241379,0.777778,W
0.0,0.0,0.423729,0.168675,0.661017,0.53012,0.271186,0.795181,-0.135593,0.86747,0.711864,1.0,0.898305,1.385542,1.0,1.614458,1.084746,1.831325,0.355932,1.072289,0.440678,1.518072,0.474576,1.795181,0.491525,2.036145,0.016949,1.024096,0.0,1.445783,0.0,1.710843,-0.016949,1.963855,-0.288136,0.891566,-0.305085,1.072289,-0.237288,0.903614,-0.220339,0.722892,W
0.0,0.0,0.40678,0.166667,0.644068,0.52381,0.271186,0.77381,-0.135593,0.845238,0.694915,1.0,0.881356,1.392857,0.983051,1.630952,1.050847,1.845238,0.322034,1.083333,0.40678,1.535714,0.423729,1.809524,0.457627,2.047619,0.0,1.035714,-0.033898,1.440476,-0.033898,1.714286,-0.050847,1.97619,-0.305085,0.904762,-0.355932,1.071429,-0.305085,0.916667,-0.254237,0.761905,W
0.0,0.0,0.383333,0.178571,0.616667,0.535714,0.233333,0.77381,-0.183333,0.821429,0.666667,1.0,0.866667,1.404762,0.966667,1.630952,1.05,1.857143,0.3,1.071429,0.4,1.547619,0.416667,1.821429,0.45,2.071429,-0.033333,1.02381,-0.05,1.440476,-0.033333,1.714286,-0.033333,1.97619,-0.333333,0.904762,-0.333333,1.095238,-0.283333,0.928571,-0.266667,0.738095,W
0.0,0.0,0.40625,0.173913,0.671875,0.543478,0.3125,0.804348,-0.109375,0.858696,0.71875,1.0,0.9375,1.380435,1.046875,1.608696,1.140625,1.815217,0.359375,1.076087,0.453125,1.51087,0.484375,1.771739,0.53125,2.0,0.03125,1.032609,0.046875,1.445652,0.046875,1.717391,0.046875,1.967391,-0.28125,0.902174,-0.25,1.097826,-0.171875,0.913043,-0.140625,0.717391,W
0.0,0.0,0.421687,0.206612,0.60241,0.628099,0.120482,0.85124,-0.337349,0.834711,0.506024,1.0,0.638554,1.355372,0.698795,1.578512,0.73494,1.760331,0.120482,1.016529,0.120482,1.438017,0.096386,1.694215,0.096386,1.909091,-0.204819,0.933884,-0.26506,1.363636,-0.313253,1.652893,-0.361446,1.917355,-0.493976,0.768595,-0.445783,0.991736,-0.301205,0.818182,-0.216867,0.628099,W
0.0,0.0,0.407767,0.213836,0.640777,0.616352,0.213592,0.842767,-0.23301,0.81761,0.495146,1.0,0.650485,1.320755,0.747573,1.509434,0.805825,1.691824,0.135922,1.031447,0.174757,1.415094,0.184466,1.647799,0.203883,1.867925,-0.194175,0.962264,-0.213592,1.345912,-0.194175,1.610063,-0.203883,1.874214,-0.504854,0.811321,-0.407767,1.044025,-0.23301,0.880503,-0.126214,0.691824,W
0.0,0.0,0.41,0.197531,0.64,0.58642,0.21,0.802469,-0.27,0.814815,0.45,1.0,0.59,1.314815,0.67,1.518519,0.7,1.697531,0.07,1.024691,0.08,1.407407,0.06,1.641975,0.04,1.858025,-0.26,0.950617,-0.3,1.320988,-0.31,1.574074,-0.37,1.820988,-0.55,0.790123,-0.44,0.993827,-0.27,0.845679,-0.19,0.666667,W
