x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,-0.717949,0.134021,-1.282051,0.463918,-1.615385,0.71134,-1.692308,0.948454,-0.641026,1.0,-0.769231,1.371134,-1.051282,1.587629,-1.410256,1.690722,-0.25641,1.010309,-0.282051,1.43299,-0.74359,1.597938,-1.230769,1.670103,0.076923,0.948454,-0.487179,1.175258,-0.846154,0.938144,-0.948718,0.731959,0.358974,0.814433,-0.205128,0.948454,-0.512821,0.783505,-0.564103,0.628866,X
0.0,0.0,-1.8,0.225,-2.68,0.475,-3.32,0.658333,-3.64,0.858333,-0.92,1.0,-1.12,1.308333,-2.04,1.458333,-2.84,1.516667,-0.2,0.975,-2.24,1.1,-2.76,0.816667,-2.28,0.716667,0.12,0.875,-2.2,0.908333,-2.4,0.65,-1.76,0.591667,0.08,0.725,-1.92,0.7,-2.0,0.525,-1.36,0.483333,X
0.0,0.0,-3.230769,0.237288,-4.846154,0.491525,-6.153846,0.669492,-6.769231,0.847458,-1.076923,1.0,-1.615385,1.305085,-3.461538,1.432203,-5.076923,1.474576,-0.076923,0.966102,-4.307692,1.101695,-5.076923,0.838983,-4.153846,0.737288,0.230769,0.872881,-4.384615,0.915254,-4.615385,0.677966,-3.461538,0.618644,-0.076923,0.728814,-4.0,0.720339,-4.076923,0.559322,-2.923077,0.508475,X
0.0,0.0,-2.928571,0.198198,-4.357143,0.459459,-5.5,0.648649,-6.071429,0.855856,-1.142857,1.0,-1.714286,1.306306,-3.285714,1.441441,-4.714286,1.486486,-0.285714,0.981982,-3.928571,1.108108,-4.642857,0.837838,-3.642857,0.756757,0.071429,0.900901,-3.857143,0.936937,-4.142857,0.684685,-3.0,0.63964,-0.142857,0.765766,-3.357143,0.747748,-3.428571,0.576577,-2.357143,0.531532,X
0.0,0.0,-1.952381,0.188034,-3.095238,0.444444,-4.0,0.641026,-4.285714,0.863248,-0.904762,1.0,-1.238095,1.290598,-2.333333,1.444444,-3.238095,1.504274,-0.238095,0.991453,-2.761905,1.136752,-3.428571,0.863248,-2.904762,0.760684,0.095238,0.905983,-2.666667,0.948718,-2.761905,0.675214,-1.952381,0.623932,0.095238,0.769231,-2.190476,0.74359,-2.238095,0.564103,-1.428571,0.521368,X
0.0,0.0,-1.387097,0.184615,-2.322581,0.453846,-2.967742,0.630769,-3.129032,0.830769,-0.774194,1.0,-0.903226,1.284615,-1.645161,1.430769,-2.322581,1.492308,-0.193548,0.984615,-1.83871,1.123077,-2.322581,0.823077,-1.935484,0.730769,0.16129,0.892308,-1.677419,0.938462,-1.870968,0.661538,-1.354839,0.607692,0.225806,0.746154,-1.354839,0.730769,-1.483871,0.546154,-0.903226,0.507692,X
0.0,0.0,-1.243243,0.21831,-2.081081,0.492958,-2.702703,0.683099,-2.756757,0.880282,-0.648649,1.0,-0.783784,1.295775,-1.459459,1.43662,-2.108108,1.5,-0.135135,0.985915,-1.594595,1.133803,-2.027027,0.830986,-1.702703,0.725352,0.216216,0.901408,-1.459459,0.950704,-1.594595,0.661972,-1.135135,0.605634,0.351351,0.753521,-1.135135,0.753521,-1.243243,0.56338,-0.72973,0.521127,X
0.0,0.0,-1.305556,0.20979,-2.138889,0.482517,-2.75,0.664336,-2.916667,0.86014,-0.694444,1.0,-0.861111,1.286713,-1.555556,1.426573,-2.222222,1.482517,-0.138889,0.986014,-1.694444,1.125874,-2.166667,0.832168,-1.833333,0.734266,0.194444,0.902098,-1.555556,0.944056,-1.722222,0.657343,-1.25,0.608392,0.305556,0.762238,-1.25,0.734266,-1.305556,0.552448,-0.805556,0.517483,X
0.0,0.0,-1.428571,0.188811,-2.4,0.468531,-3.057143,0.671329,-3.085714,0.867133,-0.942857,1.0,-1.114286,1.27972,-1.857143,1.412587,-2.514286,1.461538,-0.4,0.986014,-2.028571,1.104895,-2.428571,0.818182,-2.085714,0.713287,-0.057143,0.888112,-1.857143,0.916084,-1.971429,0.643357,-1.457143,0.587413,0.057143,0.741259,-1.514286,0.727273,-1.571429,0.538462,-1.028571,0.503497,X
0.0,0.0,-1.351351,0.191489,-2.216216,0.460993,-2.783784,0.652482,-2.918919,0.843972,-0.837838,1.0,-1.027027,1.297872,-1.702703,1.425532,-2.351351,1.468085,-0.297297,0.978723,-1.810811,1.113475,-2.216216,0.822695,-1.945946,0.70922,0.027027,0.879433,-1.648649,0.907801,-1.756757,0.631206,-1.297297,0.560284,0.162162,0.730496,-1.297297,0.70922,-1.351351,0.51773,-0.864865,0.468085,X
