h0x0,h0y0,h0x1,h0y1,h0x2,h0y2,h0x3,h0y3,h0x4,h0y4,h0x5,h0y5,h0x6,h0y6,h0x7,h0y7,h0x8,h0y8,h0x9,h0y9,h0x10,h0y10,h0x11,h0y11,h0x12,h0y12,h0x13,h0y13,h0x14,h0y14,h0x15,h0y15,h0x16,h0y16,h0x17,h0y17,h0x18,h0y18,h0x19,h0y19,h0x20,h0y20,h1x0,h1y0,h1x1,h1y1,h1x2,h1y2,h1x3,h1y3,h1x4,h1y4,h1x5,h1y5,h1x6,h1y6,h1x7,h1y7,h1x8,h1y8,h1x9,h1y9,h1x10,h1y10,h1x11,h1y11,h1x12,h1y12,h1x13,h1y13,h1x14,h1y14,h1x15,h1y15,h1x16,h1y16,h1x17,h1y17,h1x18,h1y18,h1x19,h1y19,h1x20,h1y20,dist_x,dist_y,label,clip_id
0.0,0.0,0.362205,0.037313,0.708661,0.276119,0.905512,0.507463,0.92126,0.776119,0.645669,1.0,0.976378,1.380597,1.251969,1.634328,1.425197,1.902985,0.307087,1.11194,0.716535,1.059701,0.637795,0.574627,0.472441,0.492537,-0.031496,1.052239,0.330709,0.850746,0.291339,0.432836,0.141732,0.41791,-0.354331,0.895522,-0.031496,0.738806,0.0,0.432836,-0.125984,0.41791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.511811,0.101351,0.88189,0.324324,1.07874,0.533784,1.110236,0.756757,0.850394,1.0,1.204724,1.351351,1.456693,1.594595,1.622047,1.817568,0.480315,1.101351,0.889764,1.040541,0.826772,0.608108,0.685039,0.513514,0.149606,1.054054,0.496063,0.824324,0.440945,0.472973,0.307087,0.472973,-0.149606,0.912162,0.133858,0.689189,0.149606,0.452703,0.03937,0.472973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.511628,0.100671,0.883721,0.328859,1.085271,0.536913,1.116279,0.771812,0.852713,1.0,1.20155,1.355705,1.44186,1.597315,1.596899,1.825503,0.496124,1.09396,0.875969,1.04698,0.829457,0.61745,0.705426,0.489933,0.162791,1.04698,0.496124,0.845638,0.457364,0.489933,0.333333,0.449664,-0.147287,0.912752,0.131783,0.718121,0.162791,0.469799,0.077519,0.456376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.511628,0.118421,0.883721,0.342105,1.093023,0.559211,1.100775,0.802632,0.844961,1.0,1.186047,1.355263,1.418605,1.605263,1.55814,1.842105,0.48062,1.085526,0.860465,1.059211,0.806202,0.631579,0.674419,0.519737,0.147287,1.039474,0.488372,0.848684,0.44186,0.493421,0.317829,0.467105,-0.155039,0.907895,0.131783,0.723684,0.162791,0.480263,0.054264,0.473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.507692,0.118421,0.884615,0.355263,1.069231,0.565789,1.1,0.809211,0.869231,1.0,1.215385,1.368421,1.423077,1.631579,1.546154,1.875,0.507692,1.098684,0.884615,1.065789,0.823077,0.651316,0.7,0.539474,0.176923,1.052632,0.507692,0.855263,0.446154,0.506579,0.315385,0.486842,-0.130769,0.927632,0.153846,0.730263,0.169231,0.486842,0.061538,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.483333,0.160494,0.85,0.382716,1.008333,0.598765,1.041667,0.802469,0.608333,1.0,0.766667,1.185185,0.925,1.154321,1.041667,1.141975,0.266667,1.006173,0.458333,0.981481,0.55,0.685185,0.575,0.635802,-0.066667,0.901235,0.075,0.851852,0.15,0.611111,0.158333,0.580247,-0.391667,0.746914,-0.425,0.808642,-0.366667,0.709877,-0.358333,0.697531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.468085,0.22,0.87234,0.613333,1.095745,0.893333,1.159574,1.086667,0.202128,1.0,0.180851,1.16,0.361702,0.993333,0.489362,0.88,-0.159574,0.933333,-0.095745,1.08,0.117021,0.86,0.202128,0.726667,-0.489362,0.813333,-0.393617,0.933333,-0.191489,0.72,-0.106383,0.58,-0.797872,0.633333,-0.691489,0.766667,-0.510638,0.613333,-0.414894,0.493333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.30303,0.202381,0.530303,0.52381,0.333333,0.72619,0.030303,0.803571,0.136364,1.0,0.098485,1.404762,0.037879,1.684524,-0.045455,1.940476,-0.25,0.964286,-0.348485,0.982143,-0.166667,0.613095,-0.05303,0.541667,-0.575758,0.857143,-0.613636,0.684524,-0.356061,0.404762,-0.219697,0.416667,-0.863636,0.696429,-0.871212,0.517857,-0.628788,0.321429,-0.492424,0.327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.36,0.188571,0.624,0.491429,0.496,0.702857,0.192,0.777143,0.256,1.0,0.352,1.325714,0.392,1.548571,0.432,1.702857,-0.136,0.965714,-0.232,0.971429,-0.104,0.691429,0.048,0.508571,-0.464,0.828571,-0.576,0.811429,-0.408,0.588571,-0.232,0.434286,-0.744,0.645714,-0.888,0.651429,-0.712,0.491429,-0.536,0.388571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.491667,0.088757,0.916667,0.248521,1.183333,0.366864,1.341667,0.491124,0.65,1.0,1.0,0.863905,1.05,0.556213,1.041667,0.426036,0.291667,1.011834,0.708333,0.721893,0.733333,0.402367,0.683333,0.360947,-0.05,0.91716,0.391667,0.538462,0.4,0.278107,0.316667,0.272189,-0.35,0.757396,0.016667,0.431953,0.058333,0.236686,0.008333,0.218935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
