h0x0,h0y0,h0x1,h0y1,h0x2,h0y2,h0x3,h0y3,h0x4,h0y4,h0x5,h0y5,h0x6,h0y6,h0x7,h0y7,h0x8,h0y8,h0x9,h0y9,h0x10,h0y10,h0x11,h0y11,h0x12,h0y12,h0x13,h0y13,h0x14,h0y14,h0x15,h0y15,h0x16,h0y16,h0x17,h0y17,h0x18,h0y18,h0x19,h0y19,h0x20,h0y20,h1x0,h1y0,h1x1,h1y1,h1x2,h1y2,h1x3,h1y3,h1x4,h1y4,h1x5,h1y5,h1x6,h1y6,h1x7,h1y7,h1x8,h1y8,h1x9,h1y9,h1x10,h1y10,h1x11,h1y11,h1x12,h1y12,h1x13,h1y13,h1x14,h1y14,h1x15,h1y15,h1x16,h1y16,h1x17,h1y17,h1x18,h1y18,h1x19,h1y19,h1x20,h1y20,dist_x,dist_y,label,clip_id
0.0,0.0,0.362205,0.037313,0.708661,0.276119,0.905512,0.507463,0.92126,0.776119,0.645669,1.0,0.976378,1.380597,1.251969,1.634328,1.425197,1.902985,0.307087,1.11194,0.716535,1.059701,0.637795,0.574627,0.472441,0.492537,-0.031496,1.052239,0.330709,0.850746,0.291339,0.432836,0.141732,0.41791,-0.354331,0.895522,-0.031496,0.738806,0.0,0.432836,-0.125984,0.41791,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.475806,0.076923,0.830645,0.27972,1.056452,0.496503,1.112903,0.748252,0.814516,1.0,1.169355,1.356643,1.435484,1.615385,1.620968,1.832168,0.451613,1.104895,0.854839,1.027972,0.798387,0.594406,0.677419,0.503497,0.120968,1.048951,0.475806,0.783217,0.41129,0.433566,0.282258,0.440559,-0.185484,0.902098,0.08871,0.664336,0.104839,0.41958,0.016129,0.440559,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.5,0.089655,0.873016,0.303448,1.079365,0.510345,1.119048,0.737931,0.84127,1.0,1.198413,1.358621,1.452381,1.606897,1.619048,1.827586,0.47619,1.103448,0.888889,1.041379,0.825397,0.6,0.68254,0.496552,0.142857,1.048276,0.492063,0.813793,0.436508,0.455172,0.301587,0.448276,-0.15873,0.910345,0.126984,0.675862,0.142857,0.434483,0.039683,0.455172,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.511811,0.101351,0.88189,0.324324,1.07874,0.533784,1.110236,0.756757,0.850394,1.0,1.204724,1.351351,1.456693,1.594595,1.622047,1.817568,0.480315,1.101351,0.889764,1.040541,0.826772,0.608108,0.685039,0.513514,0.149606,1.054054,0.496063,0.824324,0.440945,0.472973,0.307087,0.472973,-0.149606,0.912162,0.133858,0.689189,0.149606,0.452703,0.03937,0.472973,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.515625,0.101351,0.890625,0.331081,1.09375,0.547297,1.132812,0.777027,0.859375,1.0,1.210938,1.364865,1.460938,1.608108,1.625,1.837838,0.5,1.094595,0.898438,1.060811,0.835938,0.621622,0.695312,0.513514,0.164062,1.047297,0.507812,0.844595,0.445312,0.47973,0.3125,0.472973,-0.140625,0.918919,0.140625,0.709459,0.15625,0.466216,0.046875,0.47973,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.515385,0.107383,0.884615,0.328859,1.069231,0.543624,1.092308,0.778523,0.846154,1.0,1.192308,1.355705,1.430769,1.597315,1.592308,1.825503,0.492308,1.09396,0.876923,1.04698,0.823077,0.61745,0.684615,0.496644,0.153846,1.040268,0.492308,0.852349,0.446154,0.489933,0.323077,0.463087,-0.153846,0.912752,0.130769,0.731544,0.161538,0.47651,0.053846,0.469799,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.511628,0.100671,0.883721,0.328859,1.085271,0.536913,1.116279,0.771812,0.852713,1.0,1.20155,1.355705,1.44186,1.597315,1.596899,1.825503,0.496124,1.09396,0.875969,1.04698,0.829457,0.61745,0.705426,0.489933,0.162791,1.04698,0.496124,0.845638,0.457364,0.489933,0.333333,0.449664,-0.147287,0.912752,0.131783,0.718121,0.162791,0.469799,0.077519,0.456376,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.5,0.106667,0.876923,0.333333,1.076923,0.553333,1.084615,0.793333,0.830769,1.0,1.176923,1.36,1.415385,1.606667,1.561538,1.84,0.469231,1.093333,0.846154,1.053333,0.8,0.62,0.676923,0.506667,0.138462,1.04,0.469231,0.846667,0.430769,0.486667,0.315385,0.453333,-0.169231,0.913333,0.115385,0.72,0.146154,0.466667,0.053846,0.46,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.492308,0.119205,0.853846,0.344371,1.061538,0.562914,1.069231,0.794702,0.823077,1.0,1.161538,1.364238,1.392308,1.609272,1.538462,1.847682,0.461538,1.086093,0.838462,1.059603,0.792308,0.629139,0.653846,0.509934,0.130769,1.039735,0.461538,0.854305,0.423077,0.490066,0.292308,0.456954,-0.176923,0.913907,0.107692,0.728477,0.138462,0.470199,0.038462,0.463576,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
0.0,0.0,0.511628,0.118421,0.883721,0.342105,1.093023,0.559211,1.100775,0.802632,0.844961,1.0,1.186047,1.355263,1.418605,1.605263,1.55814,1.842105,0.48062,1.085526,0.860465,1.059211,0.806202,0.631579,0.674419,0.519737,0.147287,1.039474,0.488372,0.848684,0.44186,0.493421,0.317829,0.467105,-0.155039,0.907895,0.131783,0.723684,0.162791,0.480263,0.054264,0.473684,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z,0
