x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,0.071429,0.6,1.285714,1.2,2.0,1.690909,1.857143,2.072727,3.357143,1.0,5.714286,0.981818,4.857143,0.909091,3.785714,0.872727,3.857143,0.545455,6.071429,0.581818,5.214286,0.527273,4.142857,0.472727,4.142857,0.127273,6.142857,0.2,5.357143,0.145455,4.428571,0.090909,4.357143,-0.254545,6.0,-0.145455,5.357143,-0.181818,4.571429,-0.254545,thumbs_up
0.0,0.0,0.153846,0.75,1.846154,1.265625,3.923077,1.640625,4.846154,1.9375,6.230769,1.0,8.384615,1.140625,7.384615,1.140625,6.307692,1.0625,7.0,0.578125,8.692308,0.78125,7.846154,0.8125,6.846154,0.703125,7.153846,0.203125,8.846154,0.40625,8.153846,0.453125,7.230769,0.375,7.230769,-0.125,8.769231,0.0625,8.307692,0.125,7.538462,0.0625,thumbs_up
0.0,0.0,0.0,0.676471,1.466667,1.191176,3.0,1.573529,3.333333,1.926471,4.8,1.0,6.733333,1.058824,6.0,1.029412,5.133333,1.0,5.4,0.632353,7.066667,0.75,6.4,0.75,5.533333,0.691176,5.666667,0.279412,7.266667,0.426471,6.666667,0.455882,5.8,0.382353,5.8,-0.029412,7.266667,0.132353,6.733333,0.176471,6.0,0.102941,thumbs_up
0.0,0.0,0.857143,0.539474,2.571429,1.052632,3.428571,1.486842,3.142857,1.828947,3.571429,1.0,7.0,1.039474,6.214286,0.894737,5.0,0.842105,4.0,0.684211,7.5,0.723684,6.642857,0.592105,5.285714,0.552632,4.357143,0.328947,7.571429,0.407895,6.642857,0.302632,5.357143,0.25,4.571429,-0.013158,7.214286,0.105263,6.357143,0.026316,5.214286,-0.013158,thumbs_up
0.0,0.0,0.842105,0.554217,2.578947,1.012048,3.684211,1.409639,3.684211,1.759036,3.631579,1.0,6.263158,1.024096,5.684211,0.903614,4.684211,0.86747,4.105263,0.686747,6.631579,0.722892,5.947368,0.614458,5.0,0.566265,4.421053,0.349398,6.736842,0.409639,6.0,0.313253,5.105263,0.277108,4.631579,0.012048,6.473684,0.120482,5.736842,0.060241,5.0,0.012048,thumbs_up
0.0,0.0,-0.35,0.426667,0.15,0.946667,0.6,1.333333,0.45,1.693333,2.95,1.0,2.05,0.986667,1.1,0.773333,1.15,0.706667,3.7,0.706667,2.5,0.666667,1.3,0.493333,1.45,0.466667,3.95,0.36,2.9,0.32,1.7,0.24,1.85,0.253333,3.95,0.04,3.25,0.0,2.25,-0.013333,2.2,0.013333,thumbs_up
0.0,0.0,-0.25,0.421053,0.333333,0.947368,0.791667,1.315789,0.75,1.644737,2.0,1.0,2.458333,1.118421,1.541667,0.907895,1.125,0.815789,2.541667,0.723684,2.916667,0.828947,1.708333,0.631579,1.416667,0.578947,2.875,0.407895,3.25,0.486842,2.0,0.342105,1.625,0.302632,3.0,0.092105,3.291667,0.144737,2.333333,0.078947,1.958333,0.078947,thumbs_up
0.0,0.0,-0.178571,0.445946,0.178571,0.972973,0.464286,1.364865,0.428571,1.675676,1.535714,1.0,2.071429,1.108108,1.321429,0.891892,0.964286,0.797297,2.035714,0.72973,2.535714,0.810811,1.535714,0.594595,1.25,0.554054,2.357143,0.432432,2.821429,0.486486,1.857143,0.324324,1.535714,0.310811,2.535714,0.135135,2.928571,0.189189,2.178571,0.108108,1.892857,0.108108,thumbs_up
0.0,0.0,-5.0,0.646154,-22.0,1.246154,-35.5,1.723077,-44.0,2.153846,-48.0,1.0,-55.5,1.184615,-39.5,1.046154,-30.0,0.923077,-51.5,0.553846,-60.5,0.707692,-40.0,0.661538,-30.0,0.584615,-51.5,0.092308,-61.0,0.215385,-41.0,0.246154,-30.5,0.2,-49.0,-0.384615,-59.5,-0.292308,-50.5,-0.2,-46.5,-0.230769,thumbs_up
0.0,0.0,-0.875,0.69697,-5.125,1.378788,-8.75,1.833333,-10.375,2.257576,-11.0,1.0,-13.0,1.151515,-8.5,1.0,-7.875,0.924242,-12.0,0.560606,-13.375,0.681818,-8.125,0.606061,-8.25,0.560606,-12.125,0.121212,-13.75,0.212121,-8.75,0.19697,-8.375,0.19697,-12.0,-0.318182,-13.125,-0.272727,-9.625,-0.166667,-8.75,-0.121212,thumbs_up
