x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,0.41573,0.409836,0.775281,1.016393,0.921348,1.639344,1.078652,1.983607,0.685393,1.0,0.573034,1.918033,0.516854,1.737705,0.52809,1.409836,0.382022,0.885246,0.235955,2.032787,0.157303,2.721311,0.078652,3.196721,0.033708,0.770492,-0.089888,1.655738,-0.033708,1.442623,0.033708,1.163934,-0.314607,0.672131,-0.370787,1.47541,-0.303371,1.245902,-0.280899,0.967213,f_sign
0.0,0.0,0.30137,0.471429,0.616438,1.071429,0.780822,1.628571,0.986301,1.985714,0.821918,1.0,0.520548,1.842857,0.369863,1.671429,0.369863,1.385714,0.589041,0.842857,0.178082,1.871429,-0.013699,2.428571,-0.136986,2.842857,0.219178,0.685714,-0.232877,1.528571,-0.246575,1.3,-0.150685,1.042857,-0.178082,0.571429,-0.465753,1.271429,-0.452055,1.071429,-0.39726,0.828571,f_sign
0.0,0.0,0.432432,0.236842,0.756757,0.684211,0.905405,1.039474,1.040541,1.276316,0.513514,1.0,0.472973,1.355263,0.445946,1.157895,0.472973,0.921053,0.175676,0.973684,0.027027,1.539474,-0.067568,1.934211,-0.148649,2.236842,-0.175676,0.868421,-0.216216,1.197368,-0.148649,0.960526,-0.108108,0.75,-0.486486,0.697368,-0.486486,1.026316,-0.418919,0.828947,-0.378378,0.631579,f_sign
0.0,0.0,0.402778,0.283784,0.736111,0.756757,0.902778,1.175676,1.027778,1.472973,0.486111,1.0,0.402778,1.513514,0.388889,1.256757,0.430556,0.959459,0.152778,0.945946,-0.041667,1.635135,-0.166667,2.027027,-0.263889,2.351351,-0.194444,0.824324,-0.305556,1.27027,-0.222222,1.027027,-0.138889,0.810811,-0.513889,0.662162,-0.555556,1.094595,-0.472222,0.864865,-0.416667,0.635135,f_sign
0.0,0.0,0.454545,0.323944,0.863636,0.802817,1.090909,1.197183,1.272727,1.492958,0.651515,1.0,0.621212,1.535211,0.575758,1.267606,0.606061,1.014085,0.318182,0.901408,0.121212,1.661972,0.060606,2.056338,-0.030303,2.380282,-0.030303,0.746479,-0.212121,1.295775,-0.106061,1.028169,-0.015152,0.788732,-0.348485,0.591549,-0.454545,1.070423,-0.378788,0.84507,-0.318182,0.633803,f_sign
0.0,0.0,0.492537,0.202703,0.880597,0.675676,1.104478,1.081081,1.313433,1.337838,0.686567,1.0,0.716418,1.351351,0.761194,0.986486,0.791045,0.675676,0.358209,0.986486,0.19403,1.527027,0.149254,1.851351,0.074627,2.175676,0.0,0.851351,-0.134328,1.081081,0.014925,0.716216,0.119403,0.5,-0.313433,0.648649,-0.41791,0.864865,-0.268657,0.594595,-0.179104,0.391892,f_sign
0.0,0.0,0.323529,0.444444,0.617647,1.074074,0.764706,1.685185,1.0,2.055556,0.661765,1.0,0.485294,1.907407,0.294118,1.814815,0.235294,1.574074,0.382353,0.851852,0.132353,1.981481,-0.044118,2.592593,-0.161765,3.037037,0.014706,0.703704,-0.220588,1.648148,-0.220588,1.425926,-0.147059,1.12963,-0.338235,0.62963,-0.470588,1.388889,-0.441176,1.185185,-0.397059,0.944444,f_sign
0.0,0.0,0.416667,0.323077,0.75,0.876923,0.983333,1.307692,1.25,1.584615,0.5,1.0,0.316667,1.430769,0.283333,1.246154,0.35,1.046154,0.2,0.876923,-0.066667,1.507692,-0.233333,1.938462,-0.383333,2.292308,-0.15,0.676923,-0.366667,1.169231,-0.25,0.969231,-0.133333,0.753846,-0.5,0.476923,-0.633333,0.938462,-0.5,0.753846,-0.416667,0.553846,f_sign
0.0,0.0,0.30303,0.419355,0.560606,0.967742,0.515152,1.5,0.318182,1.709677,0.651515,1.0,0.378788,1.709677,0.227273,1.564516,0.212121,1.290323,0.393939,0.822581,0.045455,1.725806,-0.181818,2.209677,-0.333333,2.548387,0.030303,0.677419,-0.318182,1.483871,-0.30303,1.290323,-0.212121,1.048387,-0.348485,0.580645,-0.575758,1.258065,-0.530303,1.096774,-0.454545,0.903226,f_sign
0.0,0.0,0.333333,0.393939,0.571429,0.863636,0.539683,1.333333,0.380952,1.560606,0.857143,1.0,0.555556,1.651515,0.365079,1.530303,0.349206,1.333333,0.587302,0.833333,0.238095,1.636364,0.047619,2.060606,-0.079365,2.378788,0.222222,0.681818,-0.142857,1.378788,-0.190476,1.19697,-0.111111,0.969697,-0.142857,0.575758,-0.396825,1.166667,-0.412698,1.015152,-0.333333,0.833333,f_sign
0.0,0.0,0.450704,0.283582,0.746479,0.731343,0.676056,1.089552,0.352113,1.149254,0.422535,1.0,0.408451,1.402985,0.380282,1.19403,0.394366,0.955224,0.056338,0.955224,-0.028169,1.537313,-0.126761,1.970149,-0.211268,2.268657,-0.295775,0.835821,-0.253521,1.238806,-0.169014,1.059701,-0.084507,0.820896,-0.577465,0.701493,-0.521127,1.089552,-0.422535,0.925373,-0.352113,0.746269,f_sign
0.0,0.0,0.4375,0.222222,0.8125,0.638889,0.796875,1.013889,0.484375,1.166667,0.484375,1.0,0.421875,1.361111,0.40625,1.166667,0.4375,0.958333,0.125,0.972222,0.0,1.458333,-0.109375,1.777778,-0.203125,2.027778,-0.203125,0.861111,-0.203125,1.097222,-0.125,0.916667,-0.078125,0.75,-0.515625,0.708333,-0.453125,0.944444,-0.390625,0.763889,-0.34375,0.597222,f_sign
0.0,0.0,0.413793,0.309859,0.741379,0.830986,1.017241,1.211268,1.362069,1.394366,0.431034,1.0,0.258621,1.352113,0.241379,1.169014,0.310345,0.943662,0.086207,0.915493,-0.189655,1.394366,-0.37931,1.71831,-0.534483,1.985915,-0.258621,0.760563,-0.396552,1.070423,-0.241379,0.830986,-0.12069,0.633803,-0.568966,0.56338,-0.655172,0.830986,-0.5,0.633803,-0.396552,0.464789,f_sign
0.0,0.0,0.377049,0.3875,0.639344,0.8375,0.901639,1.1875,1.262295,1.325,0.163934,1.0,-0.245902,1.4625,-0.491803,1.7125,-0.672131,1.9125,-0.229508,0.85,-0.377049,1.15,-0.196721,1.0375,-0.04918,0.925,-0.557377,0.675,-0.639344,0.9375,-0.491803,0.8125,-0.393443,0.6625,-0.836066,0.5125,-0.852459,0.7875,-0.704918,0.675,-0.622951,0.5375,f_sign
0.0,0.0,0.45614,0.28,0.754386,0.786667,1.035088,1.16,1.385965,1.333333,0.385965,1.0,0.245614,1.266667,0.280702,1.066667,0.368421,0.866667,0.017544,0.933333,-0.22807,1.36,-0.403509,1.653333,-0.561404,1.92,-0.315789,0.76,-0.438596,0.986667,-0.245614,0.76,-0.105263,0.586667,-0.614035,0.56,-0.701754,0.773333,-0.526316,0.586667,-0.403509,0.44,f_sign
